,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
55,EPIC 206267115.01,0.0,1.35823,1.44,3.8298972972972973,5675.0,0.95,4.45,-8.7318618
56,EPIC 206317286 b,1.0,1.58252,0.96,3.823713513513513,5655.525135135135,2.223513513513514,4.41945945945946,-7.972456
57,EPIC 206317286 c,1.0,17.515472,2.094,3.8143324324324324,4752.0,0.76,4.6,-7.972456
58,EPIC 207517400.01,0.0,6.3878,65.0,3.8130486486486492,6668.0,1.25,4.33,17.3359732
59,EPIC 210401157.01,0.0,1.31559,102.0,3.817978378378378,6721.0,2.3,3.87,13.4936805
60,EPIC 210414957.01,0.0,0.96997227,44.66581081081081,0.549,5401.0,2.4410810810810815,4.337837837837838,13.8048326
61,EPIC 210513446.01,0.0,1.14907861,45.570945945945944,2.624,5324.24,1.01,4.374054054054054,15.6353741
62,EPIC 210754505.01,0.0,0.870775,3.97,3.796086486486486,5875.0,0.88,4.04,19.1790392
63,EPIC 210789323.01,0.0,29.12555,205.0,3.803778378378378,4936.0,3.9,3.28,19.7060261
64,EPIC 210827030.01,0.0,0.5111,46.73667567567568,0.71,3092.0,0.21,5.04,20.2806046
65,EPIC 210954046.01,0.0,0.950356,6.94,3.824762162162162,6125.0,0.94,3.0,22.2491134
66,EPIC 211082420.01,0.0,2.4616,50.17913513513512,7.53,9962.0,2.32,4.11,24.2881368
67,EPIC 211093684.01,0.0,7.0502,42.96364864864864,3.67,4947.69,0.71,4.65,24.4628062
68,EPIC 211397774.01,0.0,0.967865,43.865729729729736,14.9235,5255.0,0.97,4.42,11.6065889
69,EPIC 211402878.01,0.0,25.23658,46.655702702702705,13.1088,3777.0,0.7,4.57,11.685335
70,EPIC 211411891.01,0.0,0.954863,38.20278378378377,12.2533,5544.91,0.93,4.5,11.8196859
71,EPIC 211422822.01,0.0,0.554633,43.976081081081084,2.677,4729.0,0.95,4.36,11.98279
72,EPIC 211425822.01,0.0,2.153178,46.684081081081075,16.1675,5523.0,1.0,4.43,12.0281523
73,EPIC 211429934.01,0.0,0.565934,45.696351351351346,7.6907,5309.0,1.55,4.01,12.0918411
74,EPIC 211449931.01,0.0,6.663685,39.67472972972973,7.7241,5691.67,1.06,4.39,12.3994357
75,EPIC 211452175.01,0.0,11.114394,46.665702702702696,14.0535,5904.69,2.45,3.69,12.4332847
76,EPIC 211453076.01,0.0,0.524461,43.9804054054054,0.88,3112.0,0.2,5.06,12.4465352
77,EPIC 211453223.01,0.0,9.056947,44.62343243243243,22.8283,4942.0,1.06,4.3,12.4486135
78,EPIC 211468153.01,0.0,0.737735,46.706675675675676,29.3171,4908.37,1.53,3.97,12.6767362
79,EPIC 211471048.01,0.0,0.799768,42.51978378378378,36.8062,8175.71,1.67,4.29,12.7191133
80,EPIC 211490299.01,0.0,0.555516,36.493,12.5677,5641.795405405405,2.1351351351351355,4.45108108108108,12.9991012
