,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
1101,1101,EPIC 212297394 c,,,TIC 287331845,1,1.0,2.0,0.0,5.21378,,2.29,,,,,,,,,,,,,,,2457222.4789,0.0,,0.0828,2.472,15.0,0.028,,,,,,,,0.75,,,,,,,,,,,-17.6098985,43.14733,321.8192,-5.98289,211.53367,23.1565785,-23.1553,-0.243326,418.395,2.36212,15.377,14.611,,,,,,12.116,11.97,9.254,,14.138,6.0,483.451171875,25885.107421875,,,,1.068559185859668,,,23.222652435302734
1227,1227,EPIC 212624936 b,,,TIC 2764004,1,1.0,2.0,0.0,0.578657,,1.2,,,,,,,,,,,,,,90.3,2457232.53108,0.0,,,,3.0,0.0114,,,,,,,5765.0,0.93,,-0.39,[Fe/H],,4.4,,,,,,-10.0236852,49.04154,330.23401,2.28803,212.01058,34.5778436,-31.2449,14.8116,561.929,1.75111,14.758,13.976,,,,,,12.244,12.32,8.878,,13.868,6.0,511.9609375,38298.01953125,,,,0.8907398334149926,,,23.652830123901367
1228,1228,EPIC 212624936 c,,,TIC 2764004,1,1.0,2.0,0.0,11.81387,,2.67,,,,,,,,,,,,,,,2457221.9709,0.0,,0.0722,2.064,39.0,0.0258,,,,,,,,0.95,,,,,,,,,,,-10.0236852,49.04154,330.23401,2.28803,212.01058,34.5778436,-31.2449,14.8116,561.929,1.75111,14.758,13.976,,,,,,12.244,12.32,8.878,,13.868,6.0,511.9609375,38298.01953125,,,,0.8907398334149926,,,23.652830123901367
1273,1273,EPIC 212737443 b,,,TIC 670036,1,1.0,2.0,0.0,13.603,0.098,2.586,,,,,,,,,,,0.2,,536.0,89.071,2457234.97,0.0,0.479,0.11,2.976,31.994,0.0352,,,,,,K3,4684.0,0.67,0.69,-0.137,[Fe/H],,4.62,,3.19,,,-16.0,-7.3180577,53.83847,322.27085,2.5791,205.1154,51.2703122,-46.2331,22.1618,336.25,2.94582,15.036,14.81,,,,,,12.093,12.609,9.074,,14.461,6.0,769.8173828125,21171.6875,,,,0.9465725806451613,,,29.313430786132812
1276,1276,EPIC 212737443 c,,,TIC 670036,1,1.0,2.0,0.0,65.55,0.28,2.69,,,,,,,,,,,0.2,,316.0,89.63,2457227.79,0.0,0.567,0.11,4.608,91.172,0.0366,,,,,,K3,4684.0,0.67,0.69,-0.137,[Fe/H],,4.62,,3.19,,,-16.0,-7.3180577,53.83847,322.27085,2.5791,205.1154,51.2703122,-46.2331,22.1618,336.25,2.94582,15.036,14.81,,,,,,12.093,12.609,9.074,,14.461,6.0,769.8173828125,21171.6875,,,,0.9465725806451613,,,29.313430786132812
1320,1320,EPIC 213951550.01,,,TIC 466045629,0,1.0,0.0,0.0,1.11704,,33.94,,,,,,,,,,,,,,80.01,2457311.23,0.0,,,,6.79,0.661,,,,,,,3506.0,0.5,0.5,,,-1.472,4.74,,5.6633,,,,-27.7923145,-15.51118,9.25919,-5.22187,284.92323,54.597576,48.5,-25.0728,164.337,6.06863,18.867,16.76,,,,,,11.547,11.925,8.584,,14.971,7.0,1854.71728515625,10265.888671875,,,,0.6529680365296804,,,240.95565795898438
1483,1483,EPIC 220492298 b,,,TIC 257802602,1,1.0,1.0,0.0,0.762406,,0.99,,,,,,,,,,,,,,92.6,2457431.67734,0.0,,,,3.2,0.01,,,,,,,5620.0,0.89,,0.28,[Fe/H],,4.5,,,,,,6.588798,-56.07199,129.88845,-0.49746,17.9687,16.0543809,14.5223,-6.84441,624.512,1.57248,14.819,13.991,16.314,14.8641,13.8038,13.719,13.6928,12.13,12.001,8.927,,13.786,8.0,294.56640625,43710.90625,,,,0.9400503778337531,,,22.25416374206543
1488,1488,EPIC 220554210 c,,,TIC 266030192,1,1.0,2.0,0.0,0.70531,,1.6,,,,,,,,,,,,,,91.3,2457466.1131,0.0,,,,3.0,0.0145,,,,,,,5499.0,1.0,,-0.23,[Fe/H],,4.5,,,,,,7.9952914,-54.87207,123.91754,2.06947,15.45937,32.432431,31.9004,-5.85039,496.289,1.98627,14.845,14.21,16.5176,16.0253,13.8864,13.7799,14.1107,11.959,12.161,8.806,,13.723,8.0,1220.4140625,39321.62109375,,,,1.0833333333333333,,,41.94924545288086
1521,1521,EPIC 220674823 b,,,TIC 266015990,1,1.0,2.0,1.0,0.571292,0.0116,1.52,8.36,0.0263,,,,,8.36,0.0263,Mass,13.1,0.0,,2333.0,86.4,2457394.0114,0.0,0.18,,1.532,2.892,0.01601,,,6.67,,,G5 V,5470.0,0.87,0.94,-0.025,[Fe/H],,4.53,,,2.8,,,10.7947051,-52.07644,123.28442,4.78443,16.22656,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.38,8.423,,11.958,8.0,653.265625,199730.546875,,,,0.9041028175976273,,,57.114864349365234
1530,1530,EPIC 220674823 c,,,TIC 266015990,1,1.0,2.0,1.0,13.341245,,2.53,,,,,,,,,,,0.0,,,87.2,2457405.73124,0.0,,,,16.6,0.028,,,,,,G5,5590.0,0.83,0.93,0.025,[Fe/H],-0.119,4.56,5.0,,2.62,,-15.86,10.7947051,-52.07644,123.28442,4.78443,16.22656,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.38,8.423,,11.958,8.0,653.265625,199730.546875,,,,0.9041028175976273,,,57.114864349365234
1548,1548,EPIC 228729473.01,,,TIC 98677050,0,1.0,0.0,0.0,16.77217,,19.29,,,,,,,,,,,,,1173.0,,2457585.7609,0.0,0.63,0.199,12.4008,6.8,0.0448,,,,,,,4898.0,3.88,,,,,,,,,,,-9.8902432,52.47656,292.66769,-6.48791,189.92064,21.4235776,-20.6959,-5.53619,570.606,1.72504,12.806,11.878,,,,,,9.288,9.259,8.092,,11.524,10.0,2120.65625,305130.84375,305165.375,305305.3359375,331.1640625,0.7857519788918206,0.5419017575887565,93768646656.0,320.660888671875
1559,1559,EPIC 228836835 b,,,TIC 51641442,1,1.0,1.0,0.0,0.728113,,1.1,,,,,,,,,,,,,,89.7,2457585.45061,0.0,,,,6.4,0.0299,,,,,,,3782.0,0.32,,-0.18,[Fe/H],,5.0,,,,,,-5.2446247,57.47166,296.84098,-1.03008,190.85725,108.7583778,-108.235,10.6569,150.124,6.63375,,16.77,,,,,,11.877,11.412,8.871,,14.925,10.0,69.40869140625,8567.9248046875,8569.7265625,8576.755126953125,17.841064453125,0.7904761904761904,-0.03290164583685353,123874.140625,13.032434463500977
1613,1613,EPIC 246851721 b,,,TIC 411839167,1,2.0,1.0,1.0,6.180235,0.07229,11.781,953.49,3.0,953.49,3.0,955.58,3.00658,953.49,3.0,Mass,3.1,,642.0,1401.0,86.21,2457865.11032,0.0,0.647,0.464,4.10808,9.8,0.0681,2457858.93009,,270.0,-1.47,3.7,F5 V,6202.0,1.59,1.32,0.141,[Fe/H],0.526,4.16,3.02,0.465,74.92,,36.85,16.2786991,-12.64088,186.97531,-6.74975,79.29424,13.2641483,2.71745,-12.9828,372.632,2.66391,12.067,11.237,15.2612,11.7275,11.3069,11.1782,11.3319,9.813,9.754,8.609,,11.257,13.0,1788.328125,373275.90625,,,,0.5332555425904317,,,300.21160888671875
1649,1649,EPIC 248847494 b,,,TIC 392876254,1,1.0,1.0,1.0,3650.0,4.5,12.442,4131.79,13.0,,,,,4131.79,13.0,Mass,,0.0,0.19,183.0,89.87,2457967.17,0.0,0.79,0.18,53.6,,0.042,,,,,,,4898.0,2.7,0.9,-0.23,[Fe/H],,3.52,,0.064,,,,11.8427484,55.10278,232.28858,2.9375,156.53086,38.7618964,-38.743,1.21019,551.886,1.78346,13.327,12.353,15.8687,13.2377,12.2009,11.9699,12.4164,10.121,10.151,8.318,,12.171,14.0,415.34375,181335.3125,,,,0.9412643106022897,,,63.67055892944336
1674,1674,EPIC 249893012 b,,,TIC 432254760,1,1.0,3.0,1.0,3.5951,0.047,1.95,8.75,0.02753,,,,,8.75,0.02753,Mass,6.39,0.06,1037.0,1616.0,86.14,2457994.396,0.0,0.42,,4.33,5.93,0.0104,2457994.67,225.0,3.55,,,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],,3.99,9.0,0.298,2.1,41.0,,-16.7246474,34.30816,345.11043,1.15614,230.36713,36.8679057,13.5528,-34.2865,321.296,3.08429,12.333,11.429,,,,,,9.691,9.716,8.611,,11.364,15.0,717.609375,347507.15625,,,,0.881993006993007,,,111.51207733154297
1675,1675,EPIC 249893012 c,,,TIC 432254760,1,1.0,3.0,1.0,15.624,0.13,3.67,14.67,0.04616,,,,,14.67,0.04616,Mass,1.62,0.07,160.0,990.0,87.94,2457998.841,0.0,0.6,,6.37,15.79,0.0197,2457998.3,217.0,3.66,,,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],,3.99,9.0,0.298,2.1,41.0,,-16.7246474,34.30816,345.11043,1.15614,230.36713,36.8679057,13.5528,-34.2865,321.296,3.08429,12.333,11.429,,,,,,9.691,9.716,8.611,,11.364,15.0,717.609375,347507.15625,,,,0.881993006993007,,,111.51207733154297
1676,1676,EPIC 249893012 d,,,TIC 432254760,1,1.0,3.0,1.0,35.747,0.22,3.94,10.18,0.03203,,,,,10.18,0.03203,Mass,0.91,0.15,53.0,752.0,89.47,2458008.652,0.0,0.25,,9.56,27.42,0.0211,2458008.77,181.0,1.97,,,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],,3.99,9.0,0.298,2.1,41.0,,-16.7246474,34.30816,345.11043,1.15614,230.36713,36.8679057,13.5528,-34.2865,321.296,3.08429,12.333,11.429,,,,,,9.691,9.716,8.611,,11.364,15.0,717.609375,347507.15625,,,,0.881993006993007,,,111.51207733154297
1683,1683,EPIC 251281013.01,,,TIC 55360702,0,1.0,0.0,0.0,3.287912,,,,,,,,,,,,,,,,,2458098.59014,0.0,,10.7725,2.9928,,,,,,,,,5137.0,1.02,0.87,,,-0.187,4.36,,1.1637,,,,14.5366841,39.92101,216.42771,-0.8093,138.42108,5.3441151,5.27375,-0.864365,594.128,1.6547,15.263,14.538,16.7197,14.9809,14.4769,14.2083,13.7672,12.159,11.957,8.912,,14.183,16.0,5481.2939453125,26513.6640625,,,,0.38886906885479844,,,535.7478637695312
1684,1684,EPIC 251286992.01,,,TIC 55276688,0,1.0,0.0,0.0,0.505602,,,,,,,,,,,,,,,,,2458095.78219,0.0,,41.0848,1.776,,,,,,,,,4830.0,0.91,0.78,,,-0.394,4.41,,1.471,,,,15.1904093,39.41436,215.22305,-0.44042,137.43082,12.8942566,-10.5278,7.44495,831.761,1.17265,16.74,15.541,18.1944,16.3411,15.4831,15.1808,15.0332,13.253,11.664,8.233,,15.448,16.0,4510.568359375,8365.8662109375,,,,0.7225663716814159,,,1576.190185546875
1686,1686,EPIC 251292508.01,,,TIC 55361028,0,1.0,0.0,0.0,1.288312,,,,,,,,,,,,,,,,,2458096.63014,0.0,,24.1729,1.9896,,,,,,,,,3412.0,0.58,0.57,,,-1.392,4.67,,4.1888,,,,15.8078269,40.3426,214.85576,0.37594,137.95487,94.8775612,42.16,-84.9958,268.067,3.70534,18.726,17.23,20.3401,17.8734,16.4756,15.2087,14.5136,12.231,11.587,8.827,,15.238,16.0,859291.25,9068.2373046875,,,,107.13888888888889,,,68906.5234375
1690,1690,EPIC 251307609.01,,,TIC 55377064,0,1.0,0.0,0.0,0.598197,,,,,,,,,,,,,,,,,2458095.8683,0.0,,37.9663,1.9608,,,,,,,,,5132.0,1.25,0.87,,,-0.011,4.18,,0.6286,,,,17.3896491,41.23854,213.07867,1.98332,137.78427,11.1107313,-3.90071,-10.4035,1100.91,0.876997,16.364,15.499,18.0116,16.1915,15.4727,15.2087,15.0782,13.035,11.919,9.027,,15.183,16.0,3040.513916015625,10932.4423828125,,,,0.7543938711131141,,,1588.8289794921875
1691,1691,EPIC 251308775.01,,,TIC 55285974,0,1.0,0.0,0.0,2.804246,,,,,,,,,,,,,,,,,2458096.7284,0.0,,6.91,3.924,,,,,,,,,5938.45,2.43,1.08,-0.408,[M/H],0.819,3.7,,0.1067,,,,17.5099047,40.49843,212.53043,1.84018,136.94766,18.3737862,-17.0377,6.87843,723.966,1.35241,12.683,12.161,14.5283,14.3795,12.049,11.9047,13.7834,10.587,10.59,8.704001,,11.989,16.0,13654.1171875,194873.828125,,,,0.29206770660471293,,,5300.9775390625
1692,1692,EPIC 251314585.01,,,TIC 86117499,0,1.0,0.0,0.0,0.691617,,,,,,,,,,,,,,,,,2458096.02339,0.0,,9.8244,1.9608,,,,,,,,,5285.0,1.75,0.91,,,0.333,3.91,,0.2396,,,,18.0478072,40.91913,211.98243,2.42732,137.01706,3.4211421,0.980186,-3.27772,1319.97,0.724006,15.445,14.942,16.7014,15.16,14.568,15.3477,14.273,12.606,12.365,8.851,,14.44,16.0,3736.3408203125,18182.978515625,,,,0.7631340579710145,,,1544.623291015625
1693,1693,EPIC 251315031.01,,,TIC 86071285,0,1.0,0.0,0.0,0.540527,,,,,,,,,,,,,,,,,2458095.9743,0.0,,33.3734,1.8912,,,,,,,,,5187.17,1.04,0.88,-0.154,[M/H],-0.155,4.35,,1.1159,,,,18.088564,40.5533,211.74337,2.34221,136.61747,12.4408873,-10.8247,-6.13201,480.202,2.05374,14.529,13.957,15.6222,14.2613,13.5484,13.4372,13.2402,11.673,11.209,8.648,,13.537,16.0,10759.4033203125,44602.94921875,,,,0.7631340579710145,,,6160.078125
1694,1694,EPIC 251327548.01,,,TIC 86039410,0,1.0,0.0,0.0,11.349445,,,,,,,,,,,,,,,,,2458101.624,0.0,,5.9759,5.8632,,,,,,,,,6002.0,1.7,1.11,,,0.527,4.02,,0.3209,,,,19.1600695,40.56055,210.24433,3.24614,135.92378,24.6103721,-2.13143,-24.5179,440.558,2.24197,12.982,11.807,14.9818,12.4673,14.6838,11.6023,13.5355,10.213,10.252,8.938,,11.636,16.0,9755.8515625,268842.59375,,,,0.08621651785714286,,,2068.05419921875
1695,1695,EPIC 251330444.01,,,TIC 86036265,0,1.0,0.0,0.0,5.998652,,,,,,,,,,,,,,,,,2458098.28349,0.0,,8.319,10.8,,,,,,,,,4930.0,2.67,,,,,,,,,,,19.423595,40.38724,209.79508,3.4134,135.57845,10.0019883,7.20568,-6.93671,355.433,2.78577,12.238,11.366,15.3892,12.3326,11.276,10.9992,11.1152,9.024,8.949,8.432,,11.202,16.0,48171.984375,449408.15625,,,,1.0371533228676086,,,13296.5693359375
1696,1696,EPIC 251345848.01,,,TIC 86119727,0,1.0,0.0,0.0,2.883162,,,,,,,,,,,,,,,,,2458096.26254,0.0,,3.7899,3.132,,,,,,,,,6100.45,1.21,1.15,-0.082,[M/H],0.264,4.33,,0.9075,,,,20.727007,41.96167,208.68317,5.02535,136.34262,19.4582422,-16.7752,-9.85981,485.65,2.03083,13.363,12.633,15.1538,12.997,12.5843,12.4855,13.4241,11.196,11.263,8.846,,12.505,16.0,3947.79296875,125767.109375,,,,0.6166943521594684,,,1068.3150634765625
1697,1697,EPIC 251345849.01,,,TIC 86119726,0,1.0,0.0,0.0,0.545251,,,,,,,,,,,,,,,,,2458095.96562,0.0,,13.922,1.9608,,,,,,,,,6074.26,1.24,1.14,-0.556,[M/H],0.273,4.31,,0.8505,,,,20.727052,42.00928,208.70439,5.04083,136.39051,4.3224642,-4.21988,-0.936114,2369.79,0.340771,16.151,15.963,17.6177,16.4931,16.1495,16.035,15.9973,14.663,12.506,8.72,,16.059,16.0,1008.390869140625,5104.40771484375,,,,0.8870576829859428,,,479.7125549316406
1698,1698,EPIC 251347050.01,,,TIC 414968850,0,1.0,0.0,0.0,0.493967,,,,,,,,,,,,,,,,,2458095.55539,0.0,,1.7723,2.148,,,,,,,,,7437.0,1.94,1.7,,,1.016,4.09,,0.3278,,,,20.8291125,42.66078,208.85053,5.33985,136.98175,7.4387111,-6.66808,3.29714,1011.15,0.957557,12.585,12.434,14.9107,12.4558,12.3938,12.4298,13.3388,11.479,11.481,8.746,,12.29,16.0,4580.6484375,145084.5625,,,,1.0318371607515657,,,2242.407958984375
1699,1699,EPIC 251353301.01,,,TIC 86070316,0,1.0,0.0,0.0,0.504475,,,,,,,,,,,,,,,,,2458095.67601,0.0,,8.7373,1.8528,,,,,,,,,6963.0,1.35,1.53,,,0.587,4.36,,0.8755,,,,21.3558369,41.49344,207.59074,5.41003,135.48117,10.6544824,2.61417,-10.3288,1706.89,0.54635,15.201,14.477,15.6064,14.531,14.3779,14.3417,14.3853,13.518,11.97,8.551,,14.556,16.0,2465.9638671875,20075.103515625,,,,0.9205722742969906,,,1539.5816650390625
1700,1700,EPIC 251356484.01,,,TIC 414963560,0,1.0,0.0,0.0,0.781949,,,,,,,,,,,,,,,,,2458095.81038,0.0,,18.6838,2.6016,,,,,,,,,5480.9,1.59,0.96,-0.106,[M/H],0.311,4.02,,0.3395,,,,21.6148163,42.49924,207.65824,5.95529,136.33202,8.1386196,-5.39509,-6.09345,1230.58,0.780251,15.366,14.72,16.8229,15.2882,14.699,14.4726,14.386,12.684,11.706,8.987001,,14.484,16.0,4183.79345703125,20180.822265625,,,,0.7940092165898618,,,2282.509033203125
1701,1701,EPIC 251356953.01,,,TIC 86070236,0,1.0,0.0,0.0,5.21459,,,,,,,,,,,,,,,,,2458099.48141,0.0,,55.5674,4.0944,,,,,,,,,5457.16,1.0,0.95,-0.445,[M/H],-0.101,4.42,,1.3547,,,,21.6537781,41.5098,207.17992,5.66993,135.31491,5.8464719,5.84615,-0.0613509,764.784,1.27845,15.584,14.813,16.3296,14.9818,14.4329,14.2019,14.098,12.6,12.304,8.847,,14.568,16.0,6134.13427734375,20402.08203125,,,,0.20788085634502015,,,1107.8201904296875
1703,1703,EPIC 251383916.01,,,TIC 203289678,0,1.0,0.0,0.0,1.332797,,,,,,,,,,,,,,,,,2458096.21492,0.0,,64.5357,3.924,,,,,,,,,6519.0,1.06,1.34,,,0.264,4.51,,1.5778,,,,23.7352853,39.20639,203.39355,6.75225,131.76497,5.5338696,-2.86533,-4.7343,2522.29,0.277736,16.744,16.274,17.4432,16.357,16.1464,16.0641,16.0423,14.838,12.228,8.47,,16.22,16.0,2369.521728515625,3649.8916015625,,,,0.32190152801358235,,,493.6970520019531
1704,1704,EPIC 251390801.01,,,TIC 138687671,0,1.0,0.0,0.0,0.592255,,,,,,,,,,,,,,,,,2458095.4791,0.0,,31.2313,1.9608,,,,,,,,,5660.49,1.05,1.01,-0.201,[M/H],0.007,4.4,,1.2366,,,,24.2037699,39.67995,202.94069,7.30411,131.97152,6.6613156,2.06754,6.33233,539.859,1.82373,14.439,13.569,15.5114,14.2043,13.7347,13.8073,13.4333,11.67,11.569,8.93,,13.319,16.0,15378.7890625,55886.57421875,,,,0.7465231045311799,,,8698.41015625
1705,1705,EPIC 251393748.01,,,TIC 138660308,0,1.0,0.0,0.0,8.07181,,,,,,,,,,,,,,,,,2458099.66297,0.0,,19.0291,3.2304,,,,,,,,,5709.51,1.24,1.02,-0.116,[M/H],0.169,4.26,,0.7508,,,,24.4027825,39.33083,202.54232,7.37237,131.50761,15.4187891,-14.7618,-4.4529,235.631,4.21621,11.719,11.291,15.0705,11.713,11.2202,11.0768,13.2445,9.66,9.624,8.471,,11.256,16.0,18155.640625,437110.03125,,,,0.5218921032056294,,,2826.476318359375
1706,1706,EPIC 251393916.01,,,TIC 138660558,0,1.0,0.0,0.0,0.678473,,,,,,,,,,,,,,,,,2458095.53788,0.0,,5.8984,1.812,,,,,,,,,5744.27,1.59,1.03,-0.279,[M/H],0.393,4.05,,0.3632,,,,24.412541,39.42657,202.56467,7.40976,131.59818,5.7514477,-5.69625,0.794913,1862.01,0.492823,15.9,15.25,16.7797,15.5164,15.0734,14.9247,14.8739,13.661,12.002,8.779,,15.093,16.0,4506.36474609375,10946.09765625,,,,0.9821792260692465,,,556.0609130859375
1707,1707,EPIC 251394139.01,,,TIC 126369442,0,1.0,0.0,0.0,26.286249,,,,,,,,,,,,,,,,,2458110.27748,0.0,,11.0497,8.7024,,,,,,,,,5980.95,1.31,1.1,-0.34,[M/H],0.299,4.24,,0.6825,,,,24.4257827,39.22901,202.47369,7.36185,131.3923,37.5805328,-35.8517,-11.2673,355.016,2.78875,12.244,11.923,14.9001,12.2191,11.8105,11.6747,12.5729,10.227,10.168,8.732,,11.763,16.0,27548.1171875,257086.0625,,,,0.19600614439324116,,,3017.2109375
1709,1709,EPIC 251404897.01,,,TIC 284993262,0,1.0,0.0,0.0,0.660085,,,,,,,,,,,,,,,,,2458095.70281,0.0,,27.3793,1.9608,,,,,,,,,4401.0,1.16,0.69,,,-0.342,4.15,,0.6221,,,,25.0710794,40.47769,202.05552,8.30509,132.27953,9.2212322,6.0011,-7.00128,1066.95,0.901951,17.647,16.363,19.4654,17.1022,16.0599,15.6207,15.3484,13.423,11.799,8.965,,16.029,16.0,1200.2662353515625,4438.28662109375,,,,0.5994248151191455,,,369.4751281738281
1710,1710,EPIC 251411166.01,,,TIC 126239578,0,1.0,0.0,0.0,3.37433,,,,,,,,,,,,,,,,,2458095.71953,0.0,,2.3276,6.12,,,,,,,,,4708.0,3.78,,,,,,,,,,,25.4182681,37.38076,200.48794,7.68998,128.97652,7.8504143,-2.94368,-7.27762,1829.54,0.5118,15.534,14.565,16.967,14.9742,14.1519,13.831,13.6505,11.898,11.337,8.882,,14.179,16.0,2134.501953125,21810.53515625,,,,1.1627777777777777,,,839.0665283203125
1713,1713,EPIC 251809286.01,,,nan,0,1.0,0.0,0.0,9.485826,,,,,,,,,,,,,,,,,2458097.49974,0.0,,5.2542,15.3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1714,EPIC 251809628.01,,,nan,0,1.0,0.0,0.0,7.220585,,,,,,,,,,,,,,,,,2458099.50127,0.0,,3.8587,5.3856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,1715,G 9-40 b,,,TIC 203214081,1,1.0,1.0,0.0,5.745912,,,,,,,,,,,,,,,,,2458095.55671,0.0,,0.3155,1.1328,,,,,,,,,3390.0,0.31,,,,,4.94,,,,,,21.0747961,37.03563,206.06509,3.79417,131.148,363.6302602,175.512,-318.469,27.9276,35.7781,15.477,13.821,17.28,16.0466,13.372,12.135,13.8174,,,,,12.771,16.0,813.8203125,107304.3828125,,,,0.9484484484484484,,,159.84329223632812
1717,1717,GJ 9827 b,,HIP 115752,TIC 301289516,1,1.0,3.0,1.0,1.2089802,0.01888,1.62,3.42,0.01076,3.41,0.01073,3.419,0.01076,3.42,0.01076,Mass,4.5,,315.0,1172.0,85.73,2457738.82588,0.0,0.493,0.0586,1.25976,6.62,0.0242,2457738.82588,,2.84,,,K5 V,4269.0,0.61,0.61,-0.5,[m/H],,4.65,,3.76,1.3,,,-1.2853435,-57.18299,81.34803,2.08221,351.93542,433.6784124,376.019,216.071,29.661,33.6855,11.588,10.37,14.7056,11.1637,9.90257,13.172,9.85039,,,,,10.277,12.0,4126.8125,1584354.5,,,,1.2552570093457944,,,1534.9715576171875
1722,1722,GJ 9827 c,,HIP 115752,TIC 301289516,1,1.0,3.0,1.0,3.64823,0.0429,1.24,1.45,0.00456,,,,,1.45,0.00456,Mass,4.13,,59.0,771.0,89.07,2457738.5496,0.0,0.25,,1.825,15.1,0.0182,,,0.82,,,K6 V,4219.0,0.62,0.64,-0.29,[Fe/H],,4.66,,,1.5,,31.95,-1.2853435,-57.18299,81.34803,2.08221,351.93542,433.6784124,376.019,216.071,29.661,33.6855,11.588,10.37,14.7056,11.1637,9.90257,13.172,9.85039,,,,,10.277,12.0,4126.8125,1584354.5,,,,1.2552570093457944,,,1534.9715576171875
1726,1726,GJ 9827 d,,HIP 115752,TIC 301289516,1,1.0,3.0,1.0,6.20142,0.0611,2.04,2.35,0.00739,,,,,2.35,0.00739,Mass,1.51,,29.0,646.0,87.7,2457740.96198,0.0,0.864,,1.248,21.51,0.02993,,,1.11,,,K6 V,4219.0,0.62,0.64,-0.29,[Fe/H],,4.66,,,1.5,,31.95,-1.2853435,-57.18299,81.34803,2.08221,351.93542,433.6784124,376.019,216.071,29.661,33.6855,11.588,10.37,14.7056,11.1637,9.90257,13.172,9.85039,,,,,10.277,12.0,4126.8125,1584354.5,,,,1.2552570093457944,,,1534.9715576171875
1730,1730,HAT-P-56 b,HD 262389,HIP 32209,TIC 84339983,1,1.0,1.0,1.0,2.790833,,,,,,,,,,,,,,,,82.6,2456553.6164,0.0,,,,6.7,0.099,,,,8.0,,,6568.0,,,,,,4.26,,,36.4,,,27.2521823,10.42964,187.53757,4.17585,99.65755,24.3619558,-8.16147,-22.9542,320.639,3.09123,11.291,10.92,,,,,,9.799,9.83,8.516,,10.9,0.0,308578.375,291878.9375,0.0,616226.6875,616226.6875,1.1107986501687288,0.10513747194214593,9.045404416279883e+21,307493.125
1738,1738,HATS-11 b,,,TIC 11439959,1,1.0,1.0,1.0,3.619188,0.0507,18.03,,,,,,,,,,,,,1596.0,,2457313.27367,0.0,0.14,,,6.92,0.1071,,,,,,,6563.0,1.54,1.33,0.03,[Fe/H],,4.19,,0.479,,,,-22.3900092,-15.5115,15.35571,-0.14734,287.88653,20.240376,2.13932,-20.127,944.603,1.03135,14.657,14.06,,,,,,12.183,12.355,8.971,,13.737,7.0,27552.1015625,43864.6015625,,,,0.21997712932143512,,,1129.421875
1743,1743,HATS-12 b,,,TIC 11270200,1,1.0,1.0,1.0,3.142846,,8.845,,,,,,,,,,,,,,83.117,2457301.80843,0.0,,,,4.775518,0.06264,,,,,,,6235.0,1.29,1.21,0.14,[Fe/H],,4.22,,,,,,-19.3559227,-14.11663,18.14948,2.88476,288.102,18.0385851,12.248,13.243,746.138,,13.258,12.831,,,,,,11.392,11.991,8.799,,12.7,7.0,766.9921875,116627.2890625,,,,0.5015082956259427,,,118.07776641845703
1749,1749,HATS-36 b,,,TIC 119262291,1,1.0,1.0,1.0,4.175235,,12.77,,,,,,,,,,,,,,,2457301.93694,0.0,,1.3791,3.432,10.1,0.1076,,,,,,,,1.09,,,,,,,,,,,-23.2028183,-17.59239,15.35677,-1.21836,289.6708,7.8836988,2.19878,-7.57087,856.436,1.13973,15.06,14.364,,,,,,12.741,11.815,8.621,,14.3,7.0,318.3837890625,28321.4140625,,,,0.7290490664350847,,,76.75926971435547
