,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
106,106,EPIC 201615463 c,,,TIC 377171980,1,1.0,2.0,0.0,3.80464,,1.22,,,,,,,,,,,,,,,2457621.2227,0.0,0.61,,,,0.0093,,,,,,,,,1.07,,,,,,,,,,2.2823788,64.0901,285.15815,4.15639,183.85511,49.6479619,-47.365,-14.8821,476.882,2.06877,12.64,12.081,14.8068,14.4276,14.6152,13.7582,13.1044,10.615,10.647,8.375,,11.964,10.0,691.3203125,213568.28125,213570.2421875,213591.1171875,46.52734375,0.9129451667608819,-2.6285735124151843,505556896.0,54.50736999511719
120,120,EPIC 201649426.01,,,TIC 325315305,0,1.0,0.0,0.0,27.77045,,32.79,,,,,,,,,,,,,441.0,,2456821.3482,0.0,,,,59.26,,,,,,,,5086.0,8.15,,-0.17,[Fe/H],,,,,,,,2.8075643,61.45048,268.67562,1.47668,176.34661,29.9935979,27.2596,-12.5112,252.383,3.93349,14.575,13.595,16.2572,15.1388,13.3525,14.3765,13.3624,10.879,10.855,8.928001,,13.223,1.0,4410.66015625,74001.9296875,,,,0.8519394512771996,,,299.39068603515625
140,140,EPIC 201754305 d,,,TIC 281886199,1,1.0,3.0,0.0,2.71578,,1.03,,,,,,,,,,,,,,,2456850.4963,0.0,0.21,,,,0.015,,,,,,,,,0.67,,,,,,,,,,4.5574311,61.77713,262.91176,2.23585,173.69303,22.5657914,-6.3773,21.6459,334.967,2.95691,15.662,14.668,,,,,,12.061,12.341,8.995,,14.298,1.0,333.8603515625,25103.05859375,,,,0.9994892747701737,,,22.214187622070312
141,141,EPIC 201757695.02,,,TIC 380546118,1,1.0,1.0,0.0,2.0478,0.0296,0.908,,,,,,,,,,,0.0,,,89.276,2456811.637,0.0,0.12,,,,0.0127,,,,,,,4520.0,0.66,0.73,-0.003,[Fe/H],-0.364,4.66,,,,,,4.6164303,61.14782,260.8805,1.83241,172.60849,6.764151,-3.17074,-5.97496,,,16.22,14.974,,,,,,12.079,12.038,9.01,,14.599,1.0,377.240234375,19349.9296875,,,,1.130032644178455,,,144.1244659423828
143,143,EPIC 201779067.01,,,TIC 425284468,0,1.0,0.0,0.0,27.24273,,31.73,,,,,,,,,,,,,707.0,,2456820.2601,0.0,,,,38.25,,,,,,,,6166.0,0.92,,-0.54,[Fe/H],,,,,,,,4.9881156,57.95235,252.29973,0.06077,167.5175,22.3192373,22.3055,0.782957,499.583,1.97368,11.652,11.505,14.0297,11.6535,11.2676,11.113,11.6342,9.74,9.739,8.807,,11.119,1.0,24493.265625,457473.625,,,,0.7193675889328063,,,1388.28369140625
156,156,EPIC 201833600 c,,,TIC 363444743,1,1.0,2.0,0.0,3.96165,,1.48,,,,,,,,,,,,,,,2456813.0387,0.0,,0.0485,2.16,12.4,0.0214,,,,,,,,0.63,,,,,,,,,,,5.988289,59.32248,252.27127,1.34727,167.98914,25.7102817,8.74731,-24.1765,257.443,3.85616,15.981,14.705,,,,,,11.568,11.322,8.489,,14.252,1.0,333.9677734375,26094.103515625,,,,1.1945067264573992,,,102.92051696777344
159,159,EPIC 201841433 b,,,TIC 380583651,1,1.0,1.0,0.0,4.16888,,1.41,,,,,,,,,,,,,,,2456811.6338,0.0,,0.0447,2.4,11.5,0.0205,,,,,,,,0.63,,,,,,,,,,,6.1348146,63.11979,261.10589,3.72695,173.16633,7.9466943,-3.95843,-6.89063,436.488,2.26274,15.919,14.983,,,,,,12.378,12.355,8.948,,14.571,1.0,108.9794921875,19939.736328125,,,,1.051362683438155,,,14.395303726196289
180,180,EPIC 201928106.01,,,TIC 396915593,0,1.0,0.0,0.0,1.19478,,1.65,,,,,,,,,,,,,,,2456808.97,0.0,,,7.104,,0.0644,,,,,,,3671.0,0.23,,,,,5.05,,,,,,7.9346019,61.69326,251.55321,3.68643,168.51288,48.681621,-31.328,37.262,303.404,3.27139,19.847,18.19,,,,,,12.968,12.263,8.434,,16.733,1.0,568.3607177734375,2917.3193359375,,,,1.237142857142857,,,26.675090789794922
181,181,EPIC 201929294.01,,,TIC 388913291,0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4786.0,0.7,,-0.16,[Fe/H],,,,,,,,7.9595633,64.21707,257.59516,5.18455,171.93667,11.0339495,-4.39378,-10.1214,2140.25,0.426012,14.325,13.36,16.1121,14.5495,13.0764,12.7981,13.9818,10.726,10.673,9.046,,12.972,1.0,2921.08203125,73862.8203125,,,,0.998468606431853,,,1690.110595703125
182,182,EPIC 202059377.01,,,TIC 55072605,0,1.0,0.0,0.0,1.57753,,26.0,,,,,,,,,,,,,,,2456767.8457,0.0,,,0.0,,0.13,,,,,,,7747.0,1.93,,,,,4.08,,,,,,21.651567,6.61613,191.95934,-1.51604,98.53427,3.6496575,0.6,-3.6,273.796,,8.833,8.718,,,,,,8.4,8.391,8.351,,8.7,0.0,2172162.75,2052274.75,0.0,4338304.5,4338304.5,1.1107986501687288,0.10525849097484181,2.2114351094717586e+25,2162104.0
