,pl_name,kepid,disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,pl_orbper,koi_time0,pl_imppar,pl_trandur,pl_trandep,pl_ratror,pl_dens,pl_rade,pl_orbincl,pl_eqt,pl_insol,pl_ratdor,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,sy_pnum,koi_num_transits,koi_quarters,koi_bin_oedp_sig,st_teff,st_logg,st_met,st_rad,st_mass,ra,dec,sy_kepmag,koi_zmag,koi_hmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,lc_amplitude,lc_slope,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
3186,K00566.01,7119481,1.0,0.0,0.0,0.0,0.0,25.85499978,2455025.575,0.265,3.8737,610.5,0.022792,3.61833,2.4,89.7,637.0,38.81,50.38,0.3447,8.143429,26.649704,31.7,3.0,35.0,1.10011101110111e+30,0.169,6122.0,4.487,-0.18,0.964,1.041,292.31601,42.626251,14.718,14.458,13.201,0.568,0.09,-0.53,-1e-05,0.00017,-0.13,-0.24,0.27,-0.07,-0.06,0.09,62.6328125,0.3975061502251376,20774.876953125,66054.68114714927,66076.20010440907,41.01896505152926,1.029920523609163,2.0910048535152734,70598502.32408239,6.269806385040283
3187,K00567.01,7445445,1.0,0.0,0.0,0.0,0.0,10.68758211,2455002.931,0.818,3.3812,777.7,0.028544,0.56806,2.64,86.89,780.0,87.41,15.08,0.3728,16.922905,65.98891,78.9,3.0,128.0,1.1111111111111112e+31,0.201,5788.0,4.524,-0.34,0.848,0.877,291.9519,43.074711,14.338,14.01,12.752,0.162,-0.08,-0.1,-0.00018,-2e-05,0.063,-0.065,0.091,0.1,-0.228,0.25,47.986328125,0.24673538974495995,27252.51953125,27252.685546875,27257.5224609375,9.7265625,0.9430604982206405,0.09508070846864067,24616.212890625,7.9244890213012695
3188,K00567.02,7445445,1.0,0.0,0.0,0.0,0.0,20.30303506,2455009.803,0.793,4.5038,533.4,0.023337,0.50785,2.16,87.96,630.0,37.12,22.28,0.3728,7.479754,37.89774,44.7,3.0,62.0,1.1111111111111112e+31,0.7828,5788.0,4.524,-0.34,0.848,0.877,291.9519,43.074711,14.338,14.01,12.752,0.76,-0.41,-0.05,6e-05,-4e-05,0.12,0.06,0.14,0.19,-0.1,0.22,47.986328125,0.24673538974495995,27252.51953125,27252.685546875,27257.5224609375,9.7265625,0.9430604982206405,0.09508070846864067,24616.212890625,7.9244890213012695
3189,K04772.03,8397947,0.0,0.0,0.0,1.0,0.0,39.0930875,2454980.677,0.862,5.687,476.3,0.022964,0.29915,2.99,88.29,602.0,31.11,28.9,0.3661,3.4709911,7.3113956,10.1,3.0,25.0,1.1111111111111e+28,0.7094,6072.0,4.343,0.14,1.193,1.146,301.57855,44.31218,15.514,15.162,13.868,0.001,0.8,-1.7,0.00108,0.00089,-0.8,-0.49,1.0,0.0,0.01,0.0,83.30322265625,0.3975061502251376,8337.3173828125,66054.68114714927,66076.20010440907,41.01896505152926,1.0045599635202918,2.0910048535152734,70598502.32408239,7.568207263946533
3190,K00408.02,5351250,1.0,0.0,0.0,0.0,0.0,12.56096618,2454999.795,0.022,3.7647,923.1,0.027423,2.15344,2.74,89.95,734.0,68.49,26.188,0.4526,8.827707,44.640903,55.1,5.0,100.0,1.1111111111111112e+31,0.6263,5559.0,4.47,-0.02,0.914,0.899,288.2341,40.520901,14.985,14.67,13.422,0.364,-0.14,0.08,0.00014,-0.0001,-0.09,-0.19,0.21,-0.03,-0.15,0.15,130.2490234375,3.6529389899426548,15254.947265625,15248.8701171875,15301.18017578125,80.71240234375,1.2329700272479565,0.10885267893656465,24646880.0,56.90989685058594
3191,K00408.03,5351250,1.0,0.0,0.0,0.0,0.0,30.8261043,2454986.015,0.943,5.914,742.2,0.031848,0.09259,3.18,86.76,544.0,20.68,16.69,0.4526,6.7961183,25.828817,32.3,5.0,41.0,1.1111111111111112e+31,0.4216,5559.0,4.47,-0.02,0.914,0.899,288.2341,40.520901,14.985,14.67,13.422,0.006,0.61,0.4,-0.00043,-0.00032,-0.06,-0.11,0.12,-0.02,-0.09,0.09,130.2490234375,3.6529389899426548,15254.947265625,15248.8701171875,15301.18017578125,80.71240234375,1.2329700272479565,0.10885267893656465,24646880.0,56.90989685058594
3192,K00070.02,6850504,1.0,0.0,0.0,0.0,0.0,3.696121272,2454967.501,0.016,2.463,383.4,0.017627,2.20611,1.78,89.92,1095.0,340.33,11.679,0.4526,11.91119,108.19572,130.0,5.0,343.0,1.1111111111111112e+31,0.6675,5465.0,4.449,0.02,0.925,0.876,287.698,42.338718,12.498,12.209,10.91,0.088,-0.113,-0.332,2.4e-05,2.9e-05,-0.073,-0.1,0.12,-0.124,-0.38,0.4,152.3671875,0.8506019834840033,154804.421875,154804.78125,154835.8203125,61.78125,0.9866666666666667,-0.34726896023534365,13289333.0,43.765052795410156
3193,K00408.04,5351250,1.0,0.0,0.0,0.0,0.0,3.42806306,2454965.363,0.082,2.417,178.4,0.012074,2.11056,1.21,89.57,1131.0,386.14,10.94,0.4526,3.8212776,15.834582,16.6,5.0,347.0,1.1111111111111112e+31,0.0538,5559.0,4.47,-0.02,0.914,0.899,288.2341,40.520901,14.985,14.67,13.422,0.014,-0.61,0.83,0.00012,-0.00016,-0.14,-0.09,0.16,-0.05,-0.07,0.08,130.2490234375,3.6529389899426548,15254.947265625,15248.8701171875,15301.18017578125,80.71240234375,1.2329700272479565,0.10885267893656465,24646880.0,56.90989685058594
3194,K00409.01,5444548,1.0,0.0,0.0,0.0,0.0,13.24931848,2455012.522,0.62,4.4859,647.6,0.024323,0.67389,2.86,88.07,806.0,99.54,18.42,0.4035,11.576698,74.35541,87.8,1.0,98.0,1.1111111111111112e+31,0.6306,5799.0,4.361,0.0,1.078,0.972,290.56631,40.692039,14.15,13.93,12.776,0.141,-0.17,0.2,0.000121,-4.7e-05,0.062,0.09,0.11,0.117,0.2,0.23,74.265625,-0.05320720799296886,33825.32421875,33824.91796875,33832.8671875,15.328125,1.0694444444444444,0.6996584783422383,147665.34375,11.579480171203613
3195,K00082.06,10187017,0.0,0.0,0.0,1.0,0.0,22.4098677,2454980.384,0.869,2.271,69.8,0.009062,2.18291,0.73,88.71,489.0,13.55,38.7,0.5746,3.177575,8.511797,11.9,6.0,53.0,1.1111111111111112e+31,0.6886,4900.0,4.602,0.08,0.741,0.806,281.48273,47.208031,11.492,11.034,9.446,0.519,0.1,0.2,-4.2e-05,-3.4e-05,-0.8,0.35,0.9,-1.4,-0.1,1.4,6356.765625,22.188354898440565,350294.1875,350266.640625,350493.015625,414.1328125,1.1415571776155717,1.3786403444920357,251787624448.0,275.7201232910156
