,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
83,EPIC 249893012 d,1,3.0,35.747,3.94,752.0,89.47,0.25,237870.74105263155,9.56,27.42,0.0211,5430.0,1.71,1.05,0.2,3.99,-16.7246474,11.364,717.609375,347507.15625,1163716.8627261512,1168186.1225842927,7548.903603001645,0.881993006993007,-3.6560134158760005,4.3610555471081685e+19,111.51207733154297
84,GJ 9827 b,1,3.0,1.2089802,1.62,1172.0,85.73,0.493,0.0586,1.25976,6.62,0.0242,4269.0,0.61,0.61,-0.5,4.65,-1.2853435,10.277,4126.8125,1584354.5,798827.6633018092,801570.5445723684,6155.344109786184,1.2552570093457944,-3.863607817766887,1.6036157884261817e+20,1534.9715576171875
85,GJ 9827 c,1,3.0,3.64823,1.24,771.0,89.07,0.25,212757.12526315788,1.825,15.1,0.0182,4219.0,0.62,0.64,-0.29,4.66,-1.2853435,10.277,4126.8125,1584354.5,911292.6472039474,913815.7202097039,5691.0443359375,1.2552570093457944,-3.437915847365852,5.714762326122427e+20,1534.9715576171875
86,GJ 9827 d,1,3.0,6.20142,2.04,646.0,87.7,0.864,212757.12526315788,1.248,21.51,0.02993,4219.0,0.62,0.64,-0.29,4.66,-1.2853435,10.277,4126.8125,1584354.5,1025288.4863486842,1030687.9109786184,9645.447008634868,1.2552570093457944,-3.711818019074492,1.1923811184964488e+20,1534.9715576171875
87,HD 106315 b,1,2.0,9.554515,2.329,1143.7052631578947,88.504,0.5759463157894736,24193.70620789474,6.4984414736842115,18.295501,0.01677,6321.0,1.27,1.12,-0.23,4.19,-0.3934357,9.234,9966.5,3639140.5,3639211.125,3639689.25,1013.8125,0.8242587601078167,0.020092673479298585,24127507267584.0,979.1298828125
88,HD 106315 c,1,2.0,21.058,4.4,874.0,88.48,0.688,24193.70620789474,4.728,25.69,0.03207,6254.0,1.28,1.03,-0.278,4.23,-0.3934357,9.234,9966.5,3639140.5,3639211.125,3639689.25,1013.8125,0.8242587601078167,0.020092673479298585,24127507267584.0,979.1298828125
89,HD 137496 b,1,2.0,1.62116,1.31,2130.0,85.8,0.27,0.00575,3.28,3.7,0.0076,5799.0,1.59,1.04,-0.03,4.05,-16.5090014,9.833,2234.1875,1653862.625,1176981.9687294408,1181559.038332648,8160.148900082237,1.00185960018596,-3.7790218033188476,1.2425154936704893e+20,307.8639221191406
90,HD 89345 b,1,1.0,11.81399,6.86,1053.0,80.64315789473685,0.489,262744.2010526316,6.743771263157896,13.625,0.03779,5499.0,1.66,1.12,0.45,4.04,10.1288464,9.204,10178.5,2677502.5,1494303.4970394736,1499773.9308285362,9593.790696957238,0.9716885743174924,-3.5027141905006687,5.112993981127585e+19,1419.3277587890625
91,K2-111 b,1,2.0,5.35117,1.9,1309.0,86.2,0.633,234624.78842105262,3.38,9.59,0.01255,5730.0,1.23,0.88,-0.53,4.15,21.2985263,12.3,1800.5625,576683.125,545661.4757709703,547557.2521535773,3942.089720394737,0.857066381156317,-4.072426706437202,5.861562763919152e+19,273.7486267089844
92,K2-131 b,1,1.0,0.36931,1.7,2062.0,85.13641052631579,0.4,0.04,1.0,2.6,0.0207,5245.0,0.75,0.84,-0.17,4.61,-9.7652392,11.937,2753.359375,217847.296875,217752.953125,218478.66796875,1415.56640625,1.187459599224305,0.6135927905014589,1770794909696.0,907.4739990234375
93,K2-132 b,1,1.0,9.173866,6.865,1277.3157894736842,86.997,0.5277905263157895,14448.986315789472,4.924383368421053,8.427091,0.0291,5035.0,2.16,0.98,0.07,3.8,-8.7472172,11.651,1646.921875,286593.90625,286587.34375,286651.0703125,138.921875,1.104542626011201,3.2672628514635678,19185010688.0,144.15826416015625
94,K2-136 d,1,3.0,25.575065,1.45,373.0,89.4,0.53,196969.47368421053,3.12,50.7,0.0201,4499.0,0.66,0.74,0.15,4.66,22.8825674,10.771,3995.03125,605032.5,816966.1020970395,818811.4696957237,3968.267300575658,0.8313980492336275,-3.7995867812829265,2.912494722069611e+19,1458.3935546875
95,K2-137 b,1,1.0,0.179715,0.89,1471.0,89.6,0.02,20741.42757894737,0.6288,2.82,0.0184,3492.0,0.44,0.46,0.08,4.82,-6.1952168,14.534,508.6298828125,22457.48046875,22449.283203125,22488.92919921875,58.791015625,1.4773060029282576,1.4577509063467822,193928784.0,55.051876068115234
96,K2-138 b,1,6.0,2.35322,1.57,1728.2,86.9,0.5,209113.48631578952,1.73,8.85,0.0168,5378.0,0.86,0.93,0.16,4.59,-10.8497391,12.069,2717.3671875,197691.46875,661734.2088404605,666474.1029810855,8804.1166015625,0.8972972972972973,-3.4768410119213957,1.7307213247620648e+20,731.8197631835938
97,K2-138 c,1,6.0,3.56004,2.299,1728.2,88.1,0.369,209113.48631578952,2.38,11.1,0.02439,5356.3,0.86,0.94,0.14,4.54,-10.8497391,12.069,2717.3671875,197691.46875,661734.2088404605,666474.1029810855,8804.1166015625,0.8972972972972973,-3.4768410119213957,1.7307213247620648e+20,731.8197631835938
98,K2-138 d,1,6.0,5.40484,2.46,888.0,89.11,0.23,209113.48631578952,2.764,14.81,0.02678,5283.0,0.84,0.92,0.134,4.54,-10.8497391,12.069,2717.3671875,197691.46875,356192.8304995888,357374.0992084704,3068.392228618421,0.8972972972972973,-3.890940502796511,7.0095523904391274e+19,731.8197631835938
99,K2-138 e,1,6.0,8.26147,3.11,757.0,88.92,0.38,209113.48631578952,2.967,20.4,0.03385,5283.0,0.84,0.92,0.134,4.54,-10.8497391,12.069,2717.3671875,197691.46875,356192.8304995888,357374.0992084704,3068.392228618421,0.8972972972972973,-3.890940502796511,7.0095523904391274e+19,731.8197631835938
100,K2-138 f,1,6.0,12.75758,2.904,1728.2,88.8,0.56,209113.48631578952,3.2,26.1,0.03085,5356.3,0.86,0.94,0.14,4.54,-10.8497391,12.069,2717.3671875,197691.46875,661734.2088404605,666474.1029810855,8804.1166015625,0.8972972972972973,-3.4768410119213957,1.7307213247620648e+20,731.8197631835938
101,K2-138 g,1,6.0,41.96645,3.18,445.0,89.29,0.73,209113.48631578952,4.035,58.59,0.03472,5283.0,0.84,0.92,0.134,4.54,-10.8497391,12.069,2717.3671875,197691.46875,356192.8304995888,357374.0992084704,3068.392228618421,0.8972972972972973,-3.890940502796511,7.0095523904391274e+19,731.8197631835938
102,K2-140 b,1,1.0,6.5693,12.274,1114.0,88.51,0.33,8941.670831578947,4.56,38.39021287368422,0.114,5654.0,0.99,1.0,0.12,4.45,-9.6076115,12.483,1420.265625,126658.3203125,126688.98046875,126734.73828125,102.349609375,0.5046687416629613,-6.784363493719463,148061814784.0,228.73147583007812
103,K2-141 b,1,2.0,0.2803244,1.51,1771.0105263157895,86.3,0.7596515789473681,213049.71894736844,7.4659190526315795,2.292,0.02037,4599.0,0.68,0.71,-0.06,4.62,-1.1891827,10.619,5777.78125,724258.8125,887909.7082853619,889886.3225226151,4538.714463404605,1.1343283582089552,-3.6263156597929496,6.198679664849906e+19,2286.281005859375
104,K2-141 c,1,2.0,7.7485,7.0,1771.0105263157895,87.2,0.7870515789473682,213049.71894736844,7.4659190526315795,21.59,0.094,4599.0,0.68,0.71,-0.06,4.62,-1.1891827,10.619,5777.78125,724258.8125,887909.7082853619,889886.3225226151,4538.714463404605,1.1343283582089552,-3.6263156597929496,6.198679664849906e+19,2286.281005859375
105,K2-152 b,1,1.0,32.6527,2.81,1059.0315789473684,84.97347368421052,0.5011410526315787,11444.477894736841,4.67499547368421,56.9,0.0408,3940.0,0.63,0.65,0.09,4.66,-5.8274311,13.114,8671.0546875,76230.0078125,76127.0703125,77384.755859375,2315.388671875,1.0786240786240786,-0.33603864788092147,36197493637120.0,1570.5028076171875
106,K2-153 b,1,1.0,7.51554,2.0,1214.421052631579,78.9779052631579,0.7255242105263157,31281.56126315789,5.171455894736842,24.2,0.0371,3720.0,0.49,0.51,-0.26,4.76,2.0208765,14.331,435.458984375,25866.861328125,25892.4521484375,25911.93017578125,70.990234375,0.5073496659242762,-1.1462358375837405,168167648.0,74.86212158203125
107,K2-154 b,1,2.0,3.67626,1.99,715.0,84.37105263157895,0.44,0.11,1.7,14.5,0.0288,4097.0,0.63,0.65,0.21,4.65,-2.6696217,13.351,377.03125,66576.2109375,66584.125,66738.787109375,277.466796875,0.9549393414211439,-0.24603456025938117,1337494272.0,160.37008666992188
108,K2-154 c,1,2.0,7.95478,2.1,1114.463157894737,84.34810526315789,0.5689368421052631,6473.155789473684,5.414158210526317,25.3,0.0297,3978.0,0.65,0.67,0.19,4.64,-2.6696217,13.351,377.03125,66576.2109375,66584.125,66738.787109375,277.466796875,0.9549393414211439,-0.24603456025938117,1337494272.0,160.37008666992188
109,K2-155 c,1,3.0,13.85,2.6,583.0,88.96,0.45,0.103,3.528,27.0,0.0321,4258.0,0.58,0.65,-0.3,4.6,21.3532633,12.656,1645.171875,163982.25,283725.6228412829,284798.56258223683,2541.7237921463816,1.0547159979155811,-3.95412328123445,1.119994063953322e+19,113.3941650390625
110,K2-155 d,1,3.0,40.718,1.9,381.0,89.61,0.44,0.074,4.464,63.3,0.0273,4258.0,0.58,0.65,-0.3,4.6,21.3532633,12.656,1645.171875,163982.25,283725.6228412829,284798.56258223683,2541.7237921463816,1.0547159979155811,-3.95412328123445,1.119994063953322e+19,113.3941650390625
111,K2-156 b,1,1.0,0.813149,1.144,925.9263157894737,84.005,0.8344484210526318,113422.44842105263,5.011797263157895,4.420602,0.01704,4460.0,0.62,0.64,-0.33,4.68,-6.2943552,12.947,19283.400390625,88749.078125,90722.05859375,91282.474609375,2611.1484375,0.34072900158478603,-2.924879723309563,7005112060870656.0,4766.8681640625
112,K2-157 b,1,1.0,0.365261,1.0,1295.1684210526316,89.7,0.5593399999999998,8941.162410526316,5.248658631578947,2.2,0.0107,5456.0,0.88,1.1305684210526314,0.13,4.5,-5.7820178,12.604,324.8984375,124302.296875,124297.2265625,124324.296875,44.291015625,1.1832258064516128,1.724677050017459,33313172.0,36.148277282714844
113,K2-158 b,1,2.0,10.062106,2.635,1297.3157894736842,88.405,0.5251273684210527,17211.700157894735,4.961099157894737,17.602997,0.02707,5489.0,0.89,0.93,0.07,4.46,-5.7216879,11.678,4050.421875,281099.9375,280827.71875,281388.9453125,931.640625,1.875106202209006,1.8125894008244583,6083093987328.0,945.4590454101562
114,K2-158 c,1,2.0,5.90279,1.28,948.0,85.3289894736842,0.41,0.015,5.0,11.3,0.0123,5503.0,0.95,0.92,0.07,4.45,-5.7216879,11.678,4050.421875,281099.9375,280827.71875,281388.9453125,931.640625,1.875106202209006,1.8125894008244583,6083093987328.0,945.4590454101562
