,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag
97,K2-138 c,1,6.0,3.56004,2.299,1728.2,88.1,0.369,209113.48631578952,2.38,11.1,0.02439,5356.3,0.86,0.94,0.14,4.54,-10.8497391,12.069
98,K2-138 d,1,6.0,5.40484,2.46,888.0,89.11,0.23,209113.48631578952,2.764,14.81,0.02678,5283.0,0.84,0.92,0.134,4.54,-10.8497391,12.069
99,K2-138 e,1,6.0,8.26147,3.11,757.0,88.92,0.38,209113.48631578952,2.967,20.4,0.03385,5283.0,0.84,0.92,0.134,4.54,-10.8497391,12.069
100,K2-138 f,1,6.0,12.75758,2.904,1728.2,88.8,0.56,209113.48631578952,3.2,26.1,0.03085,5356.3,0.86,0.94,0.14,4.54,-10.8497391,12.069
101,K2-138 g,1,6.0,41.96645,3.18,445.0,89.29,0.73,209113.48631578952,4.035,58.59,0.03472,5283.0,0.84,0.92,0.134,4.54,-10.8497391,12.069
102,K2-140 b,1,1.0,6.5693,12.274,1114.0,88.51,0.33,8941.670831578947,4.56,38.39021287368422,0.114,5654.0,0.99,1.0,0.12,4.45,-9.6076115,12.483
103,K2-141 b,1,2.0,0.2803244,1.51,1771.0105263157895,86.3,0.7596515789473681,213049.71894736844,7.4659190526315795,2.292,0.02037,4599.0,0.68,0.71,-0.06,4.62,-1.1891827,10.619
104,K2-141 c,1,2.0,7.7485,7.0,1771.0105263157895,87.2,0.7870515789473682,213049.71894736844,7.4659190526315795,21.59,0.094,4599.0,0.68,0.71,-0.06,4.62,-1.1891827,10.619
105,K2-152 b,1,1.0,32.6527,2.81,1059.0315789473684,84.97347368421052,0.5011410526315787,11444.477894736841,4.67499547368421,56.9,0.0408,3940.0,0.63,0.65,0.09,4.66,-5.8274311,13.114
106,K2-153 b,1,1.0,7.51554,2.0,1214.421052631579,78.9779052631579,0.7255242105263157,31281.56126315789,5.171455894736842,24.2,0.0371,3720.0,0.49,0.51,-0.26,4.76,2.0208765,14.331
107,K2-154 b,1,2.0,3.67626,1.99,715.0,84.37105263157895,0.44,0.11,1.7,14.5,0.0288,4097.0,0.63,0.65,0.21,4.65,-2.6696217,13.351
108,K2-154 c,1,2.0,7.95478,2.1,1114.463157894737,84.34810526315789,0.5689368421052631,6473.155789473684,5.414158210526317,25.3,0.0297,3978.0,0.65,0.67,0.19,4.64,-2.6696217,13.351
109,K2-155 c,1,3.0,13.85,2.6,583.0,88.96,0.45,0.103,3.528,27.0,0.0321,4258.0,0.58,0.65,-0.3,4.6,21.3532633,12.656
110,K2-155 d,1,3.0,40.718,1.9,381.0,89.61,0.44,0.074,4.464,63.3,0.0273,4258.0,0.58,0.65,-0.3,4.6,21.3532633,12.656
111,K2-156 b,1,1.0,0.813149,1.144,925.9263157894737,84.005,0.8344484210526318,113422.44842105263,5.011797263157895,4.420602,0.01704,4460.0,0.62,0.64,-0.33,4.68,-6.2943552,12.947
112,K2-157 b,1,1.0,0.365261,1.0,1295.1684210526316,89.7,0.5593399999999998,8941.162410526316,5.248658631578947,2.2,0.0107,5456.0,0.88,1.1305684210526314,0.13,4.5,-5.7820178,12.604
113,K2-158 b,1,2.0,10.062106,2.635,1297.3157894736842,88.405,0.5251273684210527,17211.700157894735,4.961099157894737,17.602997,0.02707,5489.0,0.89,0.93,0.07,4.46,-5.7216879,11.678
114,K2-158 c,1,2.0,5.90279,1.28,948.0,85.3289894736842,0.41,0.015,5.0,11.3,0.0123,5503.0,0.95,0.92,0.07,4.45,-5.7216879,11.678
115,K2-159 b,1,1.0,12.421078,2.208,1191.221052631579,89.065,0.5485105263157893,12256.216315789474,4.877928631578947,26.135513,0.02439,5419.0,0.83,0.89,-0.1,4.57,-3.5809053,11.729
116,K2-160 b,1,1.0,3.705871,3.178,1276.8,88.254,0.5643926315789473,8935.19514736842,5.176434421052631,14.684713,0.03189,5649.0,0.91,0.98,0.07,4.61,-3.5530888,12.486
117,K2-161 b,1,1.0,9.283188,6.117,1285.3473684210526,87.251,0.5473315789473684,10465.45162105263,4.837485684210526,10.790043,0.02184,4972.0,2.57,0.99,-0.03,3.63,-3.4956913,12.358
118,K2-162 b,1,1.0,9.45889,1.44,631.0,85.10630526315789,0.41,0.02669,3.0,23.6,0.019,4842.0,0.69,0.75,-0.17,4.63,-1.111479,11.961
119,K2-163 b,1,1.0,6.673117,2.466,1275.4842105263158,88.253,0.5419547368421054,5678.030168421053,4.5153281052631575,15.663288,0.02966,4937.0,0.76,0.83,0.14,4.71,-0.5393421,12.819
120,K2-165 b,1,3.0,2.354992,1.274,1153.7473684210527,87.083,0.5420810526315789,17435.998947368425,5.71707757894737,9.208522,0.01453,5185.0,0.8,0.83,-0.05,4.46,0.968327,11.415
121,K2-165 c,1,3.0,4.382745,1.554,1153.7473684210527,87.054,0.5420810526315789,17435.998947368425,5.71707757894737,10.510761,0.01773,5185.0,0.8,0.83,-0.05,4.46,0.968327,11.415
122,K2-165 d,1,3.0,14.101361,2.648,1153.7473684210527,89.002,0.5420810526315789,17435.998947368425,5.71707757894737,27.729097,0.0302,5185.0,0.8,0.83,-0.05,4.46,0.968327,11.415
123,K2-166 b,1,2.0,8.527219,1.823,1304.7473684210527,87.429,0.5288684210526315,14634.93372631579,4.775118842105264,10.386036,0.01397,5922.0,1.2,1.07,0.05,4.24,2.2823788,11.964
124,K2-223 b,1,2.0,0.50557,0.89,1152.6526315789474,89.7,0.5386284210526315,17436.62863157895,5.732411263157896,3.3,0.00801,5859.0,1.0,1.137515789473684,0.19,4.5,-10.2820915,11.325
125,K2-223 c,1,2.0,4.56327,1.57,1091.0,85.10630526315789,0.42,0.02,2.8,11.0,0.0146,5835.0,0.99,1.06,0.12,4.48,-10.2820915,11.325
126,K2-224 b,1,2.0,4.478591,1.664,1256.5684210526315,87.86,0.5700031578947368,7477.49607368421,4.750386,12.272632,0.01816,5614.0,0.84,0.9,-0.22,4.63,-10.0605942,12.482
127,K2-225 b,1,1.0,15.871455,2.661,1244.178947368421,88.449,0.536601052631579,14822.207368421055,5.151668631578947,17.971733,0.02017,5733.0,1.21,1.11,0.47,4.26,-9.6248232,11.535
128,K2-226 b,1,1.0,3.271106,1.487,1277.5894736842106,86.719,0.5310263157894738,14413.605305263158,4.8859529473684224,9.218155,0.01654,5397.0,0.82,0.89,-0.08,4.62,-9.5626286,12.042
129,K2-227 b,1,1.0,13.621832,1.666,1166.9789473684211,88.374,0.5457168421052631,14822.207368421052,5.239416000000001,21.261583,0.01714,5673.0,0.89,0.95,-0.1,4.58,-8.4784159,11.512
130,K2-228 b,1,1.0,2.698368,1.384,1295.1684210526316,87.465,0.55934,8941.162410526316,5.248658631578947,11.406625,0.01816,4764.0,0.7,0.74,-0.13,4.67,-6.8342028,12.66
131,K2-229 b,1,2.0,0.584249,1.164,1960.0,83.9,0.5798010526315789,71569.93789473685,4.588283157894737,41.32222622105263,0.1112190842105263,5185.0,0.79,0.84,-0.06,4.56,-6.7218474,10.955
132,K2-229 c,1,2.0,8.32834,2.12,800.0,87.94,0.5798010526315789,71569.93789473685,4.588283157894737,41.32222622105263,0.1112190842105263,5185.0,0.79,0.84,-0.06,4.56,-6.7218474,10.955
