,pl_name,tid,disposition,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
5205,662.01,54085154.0,0.0,160.180141,-31.927233,-2.069,-15.577,2458544.29067,1.0016,1.238,298.778,2.39729,2192.47,1906.0,8.2046,87.2682,6380.0,4.438,1.26
5209,664.01,55092869.0,1.0,161.706905,-9.399365,-79.091,-78.576,2458544.341451,4.736094,7.108413,2435.829206,13.692776,1416.6443615,1564.713966,7.3212,99.1596,5370.0,3.72765,2.72
5210,665.01,73723286.0,0.0,155.637125,-40.516347,38.971,-42.676,2458547.303252,14.065993,3.442418,16749.968493,20.710905,67.283,797.0,9.1116,131.018,6157.0,4.20407,1.41729
5212,667.01,101955023.0,1.0,153.70907,-47.154936,-1053.98,414.3,2459280.989404,1.6289322,0.809276,2512.1192447,1.2145664,20.9593189,545.7126746,10.8372,12.613,3202.0,4.86375,0.226407
5215,670.01,147660201.0,0.0,163.9091,-42.84928,-55.007,18.019,2458543.348205,0.579398,1.64214,1324.07712,5.759676,4535.9180848,2093.0810718,11.1557,191.494,5688.0,4.48774,0.950534
5218,673.01,151959065.0,0.0,168.998428,-36.459406,-16.179,-0.612,2458551.637263,10.541282,6.241204,18663.713048,17.800047,83.7485377,771.5499682,11.955,677.796,6114.0,4.28439,1.2818
5219,674.01,158588995.0,1.0,164.586559,-36.858109,-163.27,-3.766,2459301.778142,1.9771637,1.0375028,13966.0705474,5.0574831,40.7228286,644.2868001,11.8764,46.0851,3467.0,4.87946,0.421944
5220,675.01,169226822.0,1.0,160.558765,-3.834999,19.224,17.026,2459575.923925,4.1780629,4.193,12530.0,15.4656,679.793,1422.0,9.62959,159.507,5620.0,4.18582,1.35
5222,677.01,280206394.0,1.0,144.119359,-50.463093,-24.817,42.417,2459266.616993,11.2366049,2.5449863,8844.5890695,12.9876037,200.5520752,959.7907047,9.271401,141.812,6446.0,4.37882,1.28844
5227,682.01,429304876.0,1.0,167.88543,-22.07278,-91.427,-53.36,2459298.626502,6.8392339,4.4413546,1245.6780508,3.835168,157.6883363,903.7943923,9.2231,83.1548,5085.0,3.92,1.08433
5228,683.01,437248515.0,1.0,169.43886,-19.054778,-28.708,0.99,2459303.595258,3.4058883,2.364,16590.0,16.8846,485.219,1307.0,11.4553,383.829,6302.0,4.30907,1.27
5230,685.01,281731203.0,1.0,163.032312,0.493167,-23.664,-44.171,2459570.425772,11.6334541,5.081,3480.0,10.264,126.951,935.0,9.9623,213.283,5287.7,3.88,1.73
5233,688.01,339636032.0,0.0,110.194274,-55.379531,-40.087,41.156,2459140.329214,6.878764,2.825,190.0,3.37584,253.864,1112.0,8.5885,176.054,6636.0,3.99,1.98
5234,689.01,445822015.0,0.0,147.005591,-48.320751,-18.317,27.152,2458545.05695,1.66402,3.397,7964.45,7.65443,8754.73,2694.0,10.7014,108.513,4841.3,4.71,0.78
5235,690.01,101497191.0,0.0,149.225807,-33.799397,-16.532,-19.248,2458547.35119,3.64376,3.38,3632.91,11.356433243243245,2107.88,1887.0,10.298,3500.23,5463.2,4.39,1.2651817689189186
5236,691.01,156991337.0,0.0,99.953812,-42.045199,-11.214,18.134,2458474.395282,6.9055862,3.2073505,1105.8311128,4.752734,232.4514475,995.8703751,10.234,169.117,5846.0,4.4,1.07907
5237,694.01,55383975.0,0.0,77.383578,-64.026083,6.468,25.987,2458366.770735,48.05216,4.453456,14841.874013,12.403848,79.8792691,762.4796727,11.2595,223.882,5354.96,4.45894,0.971483
