,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
53,HAT-P-64 b,4.007232,0.05387,19.089,1.703,184.34048,0.58,0.101,1766.0,6457.0,1.74,1.3,-0.113,4.07
54,HAT-P-67 b,4.8101025,0.06505,23.371,2.085,108.0622,0.34,0.0,1903.0,6406.0,2.55,1.64,-0.08,3.85
55,HAT-P-68 b,2.29840551,0.02996,12.016,1.072,230.10892,0.724,0.041,1028.0,4508.0,0.67,0.68,-0.059,4.62
56,HAT-P-69 b,4.7869491,0.06555,18.786,1.676,1137.8314,3.58,0.0,1930.0,7394.0,1.93,1.65,-0.069,4.11
57,HAT-P-7 b,2.2047372,0.03676,16.713,1.491,534.59006,1.682,0.0016,2700.0,6441.0,1.84,1.47,0.15,4.02
58,HAT-P-9 b,3.92281072,0.05287,15.614,1.393,238.05467,0.749,0.084,1540.0,6350.0,1.34,1.28,0.12,4.29
59,HATS-15 b,1.74748753,0.02712,12.386,1.105,689.6911,2.17,0.126,1505.0,5311.0,0.92,0.87,0.0,4.45
60,HATS-17 b,16.254611,0.1308,8.709,0.777,425.25654,1.338,0.029,814.0,5846.0,1.09,1.13,0.3,4.42
61,HATS-18 b,0.83784,0.0174,14.897,1.329,629.14449,1.9795,0.04716666666666666,2069.0,5600.0,1.02,1.04,0.12861111111111112,4.247777777777778
62,HATS-23 b,2.1605156,0.03397,20.849,1.86,467.2101,1.47,0.114,1654.0,5780.0,1.2,1.12,0.28,4.33
63,HATS-25 b,4.2986432,0.05163,14.123,1.26,194.82979,0.613,0.176,1277.0,5715.0,1.11,0.99,0.02,4.35
64,HATS-26 b,3.3023881,0.04735,19.616,1.75,206.5895,0.65,0.245,1918.0,6071.0,2.04,1.3,-0.02,3.94
65,HATS-31 b,3.37796,0.0478,18.383,1.64,279.6904,0.88,0.233,1823.0,6050.0,1.87,1.27,0.0,4.0
66,HATS-32 b,2.8126548,0.04024,14.0,1.249,292.4036,0.92,0.471,1437.0,5700.0,1.1,1.1,0.39,4.4
67,HATS-34 b,2.1061607,0.03166,16.029,1.43,299.07803,0.941,0.108,1445.0,5380.0,0.98,0.95,0.25,4.43
68,HATS-35 b,1.8209993,0.03199,16.41,1.464,388.38826,1.222,0.306,2037.0,6300.0,1.43,1.32,0.21,4.24
69,HATS-37 A b,4.3315366,0.04913,6.793,0.606,31.46517,0.099,0.0,1085.0,5326.0,0.88,0.84,0.051,4.48
70,HATS-38 b,4.375021,0.05036,6.882,0.614,23.51942,0.074,0.0,1294.0,5732.0,1.1,0.89,-0.102,4.3
71,HATS-45 b,4.1876244,0.05511,14.415,1.286,222.481,0.7,0.24,1518.0,6450.0,1.31,1.27,0.02,4.3
72,HATS-46 b,4.7423729,0.05367,10.122,0.903,54.98459,0.173,0.559,1054.0,5495.0,0.85,0.92,-0.06,4.54
73,HATS-48 A b,3.1316666,0.03769,8.967,0.8,77.23269,0.243,0.162,955.0,4546.0,0.72,0.73,0.186,4.59
74,HATS-49 b,4.1480467,0.04515,8.575,0.765,112.19399,0.353,0.071,835.0,4405.0,0.7,0.71,0.208,4.6
75,HATS-51 b,3.3488702,0.04639,15.805,1.41,244.09344,0.768,0.33,1553.0,5758.0,1.44,1.19,0.23922222222222222,4.2
76,HATS-52 b,1.36665436,0.02498,15.491,1.382,711.9392,2.24,0.246,1834.0,6010.0,1.05,1.11,0.06461111111111112,4.45
77,HATS-53 b,3.8537768,0.04753,15.02,1.34,189.10885,0.595,0.33,1312.0,5644.0,1.1,0.96,0.1215,4.34
78,HATS-54 b,2.5441828,0.03763,11.96,1.067,241.5508,0.76,0.126,1625.0,5702.0,1.32,1.1,0.396,4.24
79,HATS-56 b,4.324799,0.06043,18.921,1.688,191.33366,0.602,0.019,1902.0,6536.0,2.2,1.57,0.19,3.95
80,HATS-58 A b,4.2180896,0.05798,12.274,1.095,327.3649,1.03,0.168,1721.0,7175.0,1.43,1.46,0.03872222222222223,4.29
