,toi,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
3496,4068.01,FALSE POSITIVE,233.694873,79.449837,1.98,7.924,2459008.761746,1.1578392,1.363,9660.0,11.2362,2519.45,1973.0,13.3675,915.093,6409.0,4.4,1.18
3497,4069.01,CANDIDATE,252.593952,16.982718,-18.621,0.405,2459006.361204,2.723424,1.754,13090.0,11.129,250.038,1107.0,13.0531,437.789,5366.0,4.47,0.93
3498,407.01,CANDIDATE,111.211721,-62.092431,-10.142,13.241,2459199.346755,2.1654707,3.407,4520.0,13.4897,2565.64,1982.0,12.7862,959.461,5830.0,4.26,1.86
3499,4070.01,CANDIDATE,250.276118,42.436314,8.728,-18.502,2459008.219753,3.1503628,1.059,9110.0,9.47813,56.1684,762.0,13.0022,411.289,5229.0,4.49,0.89
3500,4071.01,CANDIDATE,249.291448,43.344761,-36.022,-31.743,2459001.307881,6.5169955,2.416,930.0,2.26174,62.6073,783.0,10.7133,104.24,4937.5,4.64,0.71
3501,4072.01,CANDIDATE,257.735006,36.452877,-11.665,2.44,2459005.303452,2.1390271,3.556,19090.0,,2105.59,1887.0,13.3802,860.437,5869.6,,
3502,4073.01,CANDIDATE,46.566185,70.214692,-43.298,-79.102,2459004.435589,2.3079651,2.064,1650.0,,,,11.7332,59.7061,,,
3503,4074.01,CANDIDATE,29.423373,63.90459,-0.196,-0.939,2459005.312765,3.2175518,3.154,10620.0,16.431,2563.84,1982.0,12.6844,885.18,7932.0,4.32,1.57
3504,4075.01,CANDIDATE,23.9436,65.638786,0.264,8.684,2459006.784979,3.0493757,3.545,5380.0,,,,13.0731,1965.77,,,
3505,4076.01,CANDIDATE,250.907053,36.141365,-6.37,-2.523,2459003.614842,4.3965758,2.827,6250.0,9.71601,350.289,1205.0,12.5834,587.551,5957.0,4.3,1.23
3506,4077.01,CANDIDATE,250.298493,38.961556,14.449,-5.1,2459004.400038,5.568776,2.038,12330.0,9.22074,47.0699,729.0,12.8682,302.435,4887.0,4.53,0.8
3507,4078.01,CANDIDATE,25.092991,65.203879,-0.903,-0.093,2459009.007789,3.163881,3.257,4000.0,,1446.95,1718.0,12.2305,5406.92,6323.0,,
3508,4079.01,CANDIDATE,19.980843,64.538054,18.093,0.909,2459008.246562,1.9872259,2.486,19450.0,15.6112,1292.25,1670.0,12.1484,360.76,6178.0,4.44,1.08
3509,408.01,FALSE POSITIVE,47.82774,-35.628068,-46.296,-1.595,2459169.52007,1.33679,1.488,700.0,2.70732,1038.31,1581.0,9.6114,109.991,5600.0,4.43748,0.98
3510,4080.01,CANDIDATE,84.865203,81.54345,3.818,-14.204,2459412.29844,3.7519979,3.033,18220.0,13.4011,403.866,1248.0,13.3593,543.607,5389.0,4.43,0.97
3511,4081.01,CANDIDATE,21.572736,64.840007,14.468,-11.787,2458995.660468,9.258279,3.561,2010.0,11.4376,116.856,915.0,10.6675,439.932,5707.0,3.64,2.54
3512,4082.01,CANDIDATE,17.399896,69.732043,8.292,-2.186,2459005.766681,4.6257192,3.662,9930.0,13.4946,507.324,1322.0,12.804,568.171,5972.0,4.23,1.34
3513,4083.01,FALSE POSITIVE,26.687843,63.612237,-2.054,-4.869,2459008.356209,2.0714803,3.108,1660.0,9.7546,4440.11,2274.0,11.6433,732.131,7047.0,3.85,2.46
3514,4084.01,CANDIDATE,280.779456,20.21884,8.798,-31.273,2459017.012318,15.6326703,2.989,12880.0,11.3357,24.3775,619.0,12.8934,453.772,5725.0,4.49,0.96
3515,4085.01,CANDIDATE,281.83562,26.417834,11.812,-23.847,2459034.111766,2.8282424,2.673,10540.0,10.8496,618.646,1389.0,11.9705,290.594,5257.0,4.37,1.03
3516,4086.01,CANDIDATE,138.280617,85.271029,2.95,-10.787,2459580.37602,5.6932374,5.254884,5492.0532688,12.4862126,694.3909026,1309.244491,12.111,592.872,5783.0,4.01,1.66513
3517,4087.01,CANDIDATE,217.925779,83.372706,-16.728,10.376,2459581.379975,3.1774824,2.841,14170.0,13.8116,629.087,1395.0,11.2961,301.676,6071.0,4.39,1.12
3518,4088.01,CANDIDATE,100.081046,76.553069,-11.629,-14.986,2459582.412497,2.7288511,2.497405,10311.5816873,13.3546732,932.7341491,1409.4809773,12.2523,439.803,5686.0,4.28,1.21076
3519,4089.01,CANDIDATE,267.851204,22.661333,-15.6,-22.5,2459032.322324,3.2454778,1.489,7260.0,14.9105,563.781,,11.6421,321.956,5895.5,,1.06
3520,409.01,FALSE POSITIVE,104.181674,-60.687954,3.117,-224.185,2459193.22371,6.7992776,1.58,210.0,1.09621,30.7937,656.0,9.1536,53.3027,4913.8,4.54,0.73
3521,4090.01,CANDIDATE,278.232233,39.637997,5.365,2.269,2459034.536873,3.1775801,2.085,3700.0,5.06928,149.52,974.0,12.5509,250.984,4740.0,4.49,0.82
3522,4091.01,CANDIDATE,277.979234,39.669309,0.669,-17.995,2459033.693724,3.0038696,3.24,760.0,3.44576,1394.39,1702.0,11.2834,337.362,6171.0,4.35,1.2
3523,4092.01,CANDIDATE,258.431157,81.004051,1.225,12.619,2459611.894642,7.4959066,5.36,6870.0,12.26,329.001,1186.0,12.8687,686.613,5667.0,4.14,1.41
3524,4093.01,CANDIDATE,290.738474,59.431202,-37.264,-53.613,2459023.222081,10.4713134,3.234,1380.0,3.05651,79.442,831.0,12.1517,261.191,5388.0,4.61,0.79
3525,4094.01,CANDIDATE,297.678176,68.167662,6.596,19.065,2459028.389476,4.911145,1.937,650.0,3.30088,172.163,1009.0,11.1004,312.41,6186.0,4.33,1.24
3526,4095.01,CANDIDATE,257.899648,47.257065,9.467,-13.573,2459031.32378,4.1538259,1.464,7730.0,9.70688,95.2757,870.0,12.9287,559.648,5737.0,4.37,1.09
