,pl_name,disposition,sy_snum,sy_pnum,rv_flag,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ttv_flag,pl_trandur,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_teff,st_rad,st_raderr1,st_raderr2,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,k2_campaigns,pl_ntranspec;;;;
14,EPIC 201176672.01,CANDIDATE,1.0,0.0,0.0,1.0,79.9999,0.0098,-0.0098,0.0,10.2,2.1,-2.1,0.0,0.91,0.19,-0.19,0.0,2456877.8046,0.0015,-0.0015,0.0,11.7504,0.18,0.011,-0.011,4542.0,0.51,0.1,-0.1,169.1498727,-4.6564416,50.81973,263.5583,-8.5755,171.86959,83.1631456,0.1152371,-0.1152371,-79.9358,0.11773,-0.11773,22.9429,0.0789285,-0.0789285,333.46,7.579,-7.255,2.97164,0.0661661,-0.0661661,15.334,0.086,-0.086,14.258,0.149,-0.149,12.315,0.027,-0.027,11.741,0.023,-0.023,11.604,0.023,-0.023,11.565,0.024,-0.024,11.575,0.022,-0.022,11.614,0.253,-0.253,9.147,13.9651,0.000401,-0.000401,13.3053,0.0065,-0.0065,13.98,1.0,0;;;;
15,EPIC 201176672.02,CANDIDATE,1.0,0.0,0.0,1.0,,,,,30.0,8.3,-10.6,0.0,3.0,0.74,-0.946,0.0,2456877.8038,0.0005,-0.0005,0.0,14.472,0.39,0.1,-0.14,,0.71,0.05,-0.05,169.1498727,-4.6564416,50.81973,263.5583,-8.5755,171.86959,83.1631456,0.1152371,-0.1152371,-79.9358,0.11773,-0.11773,22.9429,0.0789285,-0.0789285,333.46,7.579,-7.255,2.97164,0.0661661,-0.0661661,15.334,0.086,-0.086,14.258,0.149,-0.149,12.315,0.027,-0.027,11.741,0.023,-0.023,11.604,0.023,-0.023,11.565,0.024,-0.024,11.575,0.022,-0.022,11.614,0.253,-0.253,9.147,13.9651,0.000401,-0.000401,13.3053,0.0065,-0.0065,13.98,1.0,0;;;;
16,EPIC 201180665.01,CANDIDATE,1.0,0.0,0.0,1.0,17.77297,9e-05,-9e-05,0.0,26.44,0.65,-0.65,0.0,2.359,0.058,-0.058,0.0,2457586.4986,0.0002,-0.0002,0.0,2.8992,0.1892,0.0008,-0.0009,5847.0,1.25,0.07,-0.06,184.1697015,-4.5603949,57.21742,286.78199,-2.52858,185.63683,28.633837,0.0498437,-0.0498437,-26.7254,0.0519403,-0.0519403,-10.2786,0.0322748,-0.0322748,601.265,9.088,-8.827,1.63444,0.0245882,-0.0245882,13.881,0.007,-0.007,13.327,0.08,-0.08,12.008,0.024,-0.024,11.686,0.024,-0.024,11.65,0.019,-0.019,11.635,0.023,-0.023,11.66,0.023,-0.023,11.648,0.252,-0.252,8.589,13.0873,0.000521,-0.000521,12.6521,0.0069,-0.0069,13.08,10.0,0;;;;
17,EPIC 201182911.01,CANDIDATE,1.0,0.0,0.0,1.0,0.99656225,,,0.0,32.8,,,0.0,2.926,,,0.0,2456811.09,,,0.0,2.26,0.6256,,,3727.0,0.5,,,172.7104166,-4.5075924,52.85404,268.27344,-7.03187,175.09897,3.2604002,0.0740191,-0.0740191,-1.5629,0.100641,-0.100641,2.86139,0.0639658,-0.0639658,335.632,6.7025,-6.7025,2.95191,0.0590277,-0.0590277,17.937,0.0,0.0,16.226,0.286,-0.286,13.238,0.027,-0.027,12.544,0.022,-0.022,12.335,0.027,-0.027,12.31,0.023,-0.023,12.257,0.023,-0.023,11.748,0.243,-0.243,8.648,15.4518,0.001097,-0.001097,14.4539,0.007806,-0.007806,15.516,1.0,0;;;;
18,EPIC 201197348.01,CANDIDATE,1.0,0.0,0.0,1.0,14.9139,0.0018,-0.002,0.0,3.24,0.33,-0.56,0.0,0.289,0.029,-0.05,0.0,2456825.1108,0.0045,-0.0042,0.0,3.264,0.046,0.0038,-0.0078,,0.65,0.04,-0.02,177.0948891,-4.1644059,55.19886,274.58724,-4.97569,178.99399,20.7933424,0.0751198,-0.0751198,-20.7339,0.075279,-0.075279,-1.57114,0.0383849,-0.0383849,360.103,5.725,-5.552,2.7488,0.0431477,-0.0431477,16.82,0.057,-0.057,15.537,0.046,-0.046,13.239,0.024,-0.024,12.585,0.022,-0.022,12.424,0.027,-0.027,12.393,0.024,-0.024,12.464,0.024,-0.024,12.151,0.442,-0.442,8.547,15.0437,0.000289,-0.000289,14.2931,0.0065,-0.0065,15.135,1.0,0;;;;
20,EPIC 201231940.01,CANDIDATE,1.0,0.0,0.0,1.0,0.57303573,,,0.0,3.35,,,0.0,0.299,,,0.0,2456810.511,,,0.0,0.32,0.09028,,,3570.0,0.43,,,174.1207146,-3.4828286,54.44476,269.46549,-5.53228,175.98785,78.0163144,0.2885509,-0.2885509,32.503,0.380832,-0.380832,-70.9232,0.265119,-0.265119,1138.64,340.67,-221.637,0.824115,0.199637,-0.199637,19.686,0.082,-0.082,18.78,0.2,-0.2,15.961,0.073,-0.073,15.377,0.092,-0.092,15.155,0.159,-0.159,15.178,0.039,-0.039,15.01,0.088,-0.088,12.474,,,8.686,18.0887,0.002148,-0.002148,17.2555,0.0066,-0.0066,18.108,1.0,0;;;;
21,EPIC 201238110 b,CONFIRMED,1.0,1.0,0.0,1.0,28.1696,0.0038,-0.0043,0.0,2.2,0.54,-0.3,0.0,0.2,0.048,-0.03,0.0,2456824.4836,0.0063,-0.0051,0.0,3.36,0.054,0.0034,-0.0054,,0.37,0.09,-0.04,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,0.0928217,-0.0928217,-25.1078,0.10071,-0.10071,-12.4418,0.0489778,-0.0489778,159.259,1.414,-1.39,6.25088,0.0548541,-0.0548541,17.881,0.162,-0.162,16.014,1.133,-1.133,12.759,0.023,-0.023,12.147,0.021,-0.021,11.933,0.024,-0.024,11.8,0.023,-0.023,11.719,0.022,-0.022,11.961,0.335,-0.335,8.891,15.2612,0.000501,-0.000501,14.1497,0.0073736,-0.0073736,14.904,1.0,0;;;;
23,EPIC 201238110.01,CANDIDATE,1.0,1.0,0.0,1.0,7.90417,0.00091,-0.00148,0.0,2.06,0.53,-0.56,0.0,0.184,0.047,-0.05,0.0,2456813.6895,0.0106,-0.0049,0.0,1.92,0.0505,0.005,-0.0129,,0.37,0.09,-0.04,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,0.0928217,-0.0928217,-25.1078,0.10071,-0.10071,-12.4418,0.0489778,-0.0489778,159.259,1.414,-1.39,6.25088,0.0548541,-0.0548541,17.881,0.162,-0.162,16.014,1.133,-1.133,12.759,0.023,-0.023,12.147,0.021,-0.021,11.933,0.024,-0.024,11.8,0.023,-0.023,11.719,0.022,-0.022,11.961,0.335,-0.335,8.891,15.2612,0.000501,-0.000501,14.1497,0.0073736,-0.0073736,14.904,1.0,0;;;;
25,EPIC 201238163.01,CANDIDATE,1.0,0.0,0.0,1.0,1.0829614,,,0.0,1.56,,,0.0,0.139,,,0.0,2456810.366,,,0.0,1.22,0.02378,,,3875.0,0.56,,,173.2627978,-3.3887192,54.09769,268.11511,-5.78616,175.16055,9.8565836,0.0573949,-0.0573949,-1.85508,0.0836964,-0.0836964,9.68044,0.0561952,-0.0561952,299.406,4.528,-4.398,3.31192,0.0493972,-0.0493972,17.367,0.183,-0.183,15.657,0.355,-0.355,13.114,0.026,-0.026,12.48,0.026,-0.026,12.282,0.024,-0.024,12.226,0.024,-0.024,12.248,0.023,-0.023,11.97,0.338,-0.338,8.672,15.1848,0.000676,-0.000676,14.3513,0.0085,-0.0085,15.279,1.0,0;;;;
26,EPIC 201239401.01,CANDIDATE,1.0,0.0,0.0,1.0,0.90552205,,,0.0,1.52,,,0.0,0.136,,,0.0,2456810.944,,,0.0,1.32,0.02628,,,3710.0,0.5,,,173.0528796,-3.370321,54.00641,267.79228,-5.85246,174.95988,20.3871414,0.0650238,-0.0650238,-15.3766,0.0763184,-0.0763184,-13.3864,0.0460621,-0.0460621,190.075,1.555,-1.555,5.23261,0.0427105,-0.0427105,17.114,0.175,-0.175,15.731,0.446,-0.446,12.58,0.03,-0.03,11.945,0.025,-0.025,11.735,0.026,-0.026,11.648,0.024,-0.024,11.615,0.022,-0.022,11.871,0.287,-0.287,8.328,14.9247,0.000531,-0.000531,13.8913,0.00731,-0.00731,15.042,1.0,0;;;;
28,EPIC 201247497.01,CANDIDATE,1.0,0.0,0.0,1.0,2.75391,0.00015,-0.00015,0.0,3.78,0.68,-0.68,0.0,0.337,0.061,-0.061,0.0,2456810.9031,0.0023,-0.0023,0.0,1.0296,0.079,0.013,-0.013,3918.0,0.44,0.03,-0.03,177.9464521,-3.2460183,56.38869,275.27593,-3.79471,179.40853,23.6639771,0.1669537,-0.1669537,-20.9618,0.17973,-0.17973,10.9812,0.108323,-0.108323,793.131,108.24,-85.595,1.23644,0.145193,-0.145193,18.876,0.163,-0.163,17.3749,0.0461,-0.0461,14.562,0.033,-0.033,13.982,0.04,-0.04,13.748,0.057,-0.057,13.734,0.027,-0.027,13.669,0.035,-0.035,12.497,,,8.804,16.7664,0.000761,-0.000761,15.9022,0.0063,-0.0063,16.77,1.0,0;;;;
31,EPIC 201257461.01,FALSE POSITIVE,1.0,0.0,0.0,1.0,50.285869,,,0.0,3.47,,,0.0,0.31,,,0.0,2456828.355,,,0.0,12.62,0.05345,,,4859.0,0.74,,,178.1611264,-3.0949095,56.6147,275.51697,-3.57072,179.54522,8.1450771,0.0728534,-0.0728534,-7.91616,0.0743624,-0.0743624,-1.91747,0.0390037,-0.0390037,829.248,29.0795,-29.0795,1.1772,0.0419644,-0.0419644,12.883,0.295,-0.295,11.668,0.033,-0.033,9.994,0.023,-0.023,9.479,0.024,-0.024,9.368,0.023,-0.023,9.284,0.022,-0.022,9.386,0.02,-0.02,9.284,0.037,-0.037,8.319,11.5044,0.000606,-0.000606,10.8877,0.0073,-0.0073,11.511,1.0,0;;;;
