,pl_name,disposition,sy_snum,sy_pnum,rv_flag,tran_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,ttv_flag,pl_trandur,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_teff,st_rad,st_raderr1,st_raderr2,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,k2_campaigns,pl_ntranspec;;;;
540,EPIC 208833261.01,CANDIDATE,1.0,0.0,0.0,1.0,3.47451,0.00065,-0.00065,0.0,10.6,1.1,-1.1,0.0,0.95,0.1,-0.1,0.0,2456773.4783,0.0035,-0.0035,0.0,4.2,0.0536,0.0041,-0.0041,7143.0,1.83,0.11,-0.11,91.1082862,22.4994502,0.40298,187.69361,-0.93589,91.02406,6.1428542,0.0476013,-0.0476013,1.42879,0.057566,-0.057566,-5.97438,0.0469675,-0.0469675,1490.49,70.99,-70.99,0.642993,0.0316704,-0.0316704,14.19,0.048,-0.048,14.418,0.172,-0.172,13.131,0.022,-0.022,12.95,0.029,-0.029,12.826,0.024,-0.024,12.78,0.028,-0.028,12.802,0.029,-0.029,12.487,,,8.53,14.269,0.000486,-0.000486,13.8232,0.0214,-0.0214,,,0;;;;
541,EPIC 209036259.01,CANDIDATE,1.0,0.0,0.0,1.0,0.369181,1.3e-05,-1.3e-05,0.0,16.5,2.7,-2.7,0.0,1.47,0.24,-0.24,0.0,2456767.95639,0.00083,-0.00083,0.0,0.7392,0.0705,0.0071,-0.0071,6020.0,2.22,0.3,-0.3,96.9100772,23.3407488,5.50668,189.48852,0.05347,96.34217,3.8056111,0.1104478,-0.1104478,-1.20987,0.122559,-0.122559,-3.60817,0.109002,-0.109002,3834.44,1356.75,-881.97,0.174795,0.0872146,-0.0872146,,,,16.265,0.16,-0.16,14.444,0.033,-0.033,14.095,0.062,-0.062,13.961,0.053,-0.053,13.823,0.072,-0.072,13.911,0.081,-0.081,12.301,,,8.317,16.1022,0.001026,-0.001026,15.4749,0.015,-0.015,,,0;;;;
542,EPIC 209286622.01,CANDIDATE,1.0,0.0,0.0,1.0,6.71694,0.00054,-0.00054,0.0,39.0,24.0,-24.0,0.0,3.5,2.1,-2.1,0.0,2456775.2646,0.0013,-0.0013,0.0,3.37992,0.44,0.28,-0.28,5267.0,0.82,0.08,-0.08,93.9180397,24.3666198,3.56163,187.30055,0.97587,93.56908,1.5378356,0.1706843,-0.1706843,-0.631796,0.199968,-0.199968,-1.40206,0.164101,-0.164101,1887.97,416.56,-293.32,0.504343,0.0906775,-0.0906775,18.807,0.05,-0.05,16.733,1.133,-1.133,14.948,0.035,-0.035,14.42,0.041,-0.041,14.408,0.06,-0.06,14.237,0.033,-0.033,14.186,0.051,-0.051,11.866,,,8.797,17.0246,0.001519,-0.001519,16.1759,0.0257,-0.0257,,,0;;;;
543,EPIC 210365511.01,CANDIDATE,1.0,0.0,0.0,1.0,3.951971,0.001246,-0.001267,0.0,8.446,29.035,-5.542,0.0,0.75,2.59,-0.49,0.0,2457067.61666,0.010099,-0.010243,0.0,,0.11188,0.38464,-0.07335,4672.0,0.69,0.02,-0.02,60.0924866,12.6338236,-29.33756,178.19083,-7.80408,60.58858,28.2613123,0.7553566,-0.7553566,27.6709,0.753851,-0.753851,-5.74657,0.789462,-0.789462,,,,,,,14.172,0.034,-0.034,12.911,0.057,-0.057,10.604,0.022,-0.022,10.008,0.022,-0.022,9.842,0.017,-0.017,9.769,0.024,-0.024,9.808,0.019,-0.019,9.777,0.052,-0.052,8.707,12.6531,0.003071,-0.003071,11.8915,0.0068,-0.0068,12.439,4.0,0;;;;
544,EPIC 210371175.01,CANDIDATE,1.0,0.0,0.0,1.0,11.3256,0.0019,-0.0018,0.0,2.18,0.24,-0.57,0.0,0.194,0.021,-0.051,0.0,2457063.1621,0.0061,-0.0059,0.0,4.8,0.0192,0.0017,-0.0047,,1.04,0.07,-0.08,62.5178165,12.7794292,-27.45129,179.82284,-8.11744,62.96104,7.7183296,0.0714099,-0.0714099,7.57189,0.0719238,-0.0719238,-1.49636,0.0566842,-0.0566842,349.77,4.804,-4.678,2.83063,0.038459,-0.038459,14.287,0.029,-0.029,13.271,0.103,-0.103,11.396,0.021,-0.021,10.97,0.028,-0.028,10.856,0.025,-0.025,10.816,0.023,-0.023,10.832,0.022,-0.022,10.881,0.136,-0.136,8.783,12.9945,0.00033,-0.00033,12.3428,0.0092,-0.0092,12.96,4.0,0;;;;
545,EPIC 210384192.01,CANDIDATE,1.0,0.0,0.0,1.0,2.9237,0.0003,-0.00055,0.0,2.57,0.95,-0.67,0.0,0.229,0.085,-0.06,0.0,2457063.527,0.0082,-0.004,0.0,1.488,0.0411,0.0041,-0.008,,0.57,0.2,-0.1,54.9158205,13.0953289,-32.7045,173.76961,-6.26711,55.72278,35.492156,0.1466576,-0.1466576,31.9737,0.153054,-0.153054,15.407,0.115118,-0.115118,386.466,13.0185,-13.0185,2.56137,0.0864276,-0.0864276,19.436,0.163,-0.163,17.1386,0.0465,-0.0465,13.738,0.025,-0.025,13.005,0.028,-0.028,12.733,0.032,-0.032,12.622,0.024,-0.024,12.65,0.026,-0.026,12.5,,,8.727,16.2643,0.000766,-0.000766,15.1662,0.0078611,-0.0078611,15.072,4.0,0;;;;
546,EPIC 210389383.01,CANDIDATE,1.0,0.0,0.0,1.0,14.08549,0.00019,-0.00019,0.0,21.1,2.1,-2.1,0.0,1.88,0.19,-0.19,0.0,2457069.77715,0.00047,-0.00047,0.0,6.36192,0.14602,0.00057,-0.00057,5970.0,1.32,0.13,-0.13,62.6037399,13.2177437,-27.10439,179.50702,-7.70219,63.126,15.7140539,0.1155344,-0.1155344,14.6582,0.120377,-0.120377,5.66292,0.0754574,-0.0754574,511.321,13.095,-12.467,1.92767,0.0484979,-0.0484979,13.914,0.013,-0.013,13.068,0.126,-0.126,11.257,0.022,-0.022,10.905,0.03,-0.03,10.772,0.025,-0.025,10.708,0.023,-0.023,10.704,0.021,-0.021,10.59,0.098,-0.098,8.97,12.7827,0.00036,-0.00036,12.1812,0.0114,-0.0114,12.752,4.0,0;;;;
547,EPIC 210394706.01,CANDIDATE,1.0,0.0,0.0,1.0,15.0818,0.0025,-0.0024,0.0,1.83,0.25,-0.29,0.0,0.163,0.022,-0.026,0.0,2457065.5478,0.0075,-0.0063,0.0,3.192,0.0326,0.0023,-0.0045,,0.51,0.06,-0.04,60.7088833,13.3435999,-28.41759,178.03684,-7.22741,61.32427,48.31289,0.0598166,-0.0598166,47.6977,0.0603642,-0.0603642,-7.68536,0.0322937,-0.0322937,161.503,0.722,-0.722,6.16303,0.0274677,-0.0274677,16.147,0.078,-0.078,14.68,0.028,-0.028,11.896,0.023,-0.023,11.227,0.023,-0.023,11.05,0.021,-0.021,11.009,0.028,-0.028,11.001,0.028,-0.028,10.881,0.177,-0.177,7.993,14.0599,0.000302,-0.000302,13.1102,0.0073853,-0.0073853,14.05,4.0,0;;;;
548,EPIC 210394706.02,CANDIDATE,1.0,0.0,0.0,1.0,3.16363,0.00029,-0.00029,0.0,1.25,0.18,-0.23,0.0,0.112,0.016,-0.021,0.0,2457063.9343,0.004,-0.004,0.0,1.752,0.0222,0.0019,-0.0038,,0.51,0.06,-0.04,60.7088833,13.3435999,-28.41759,178.03684,-7.22741,61.32427,48.31289,0.0598166,-0.0598166,47.6977,0.0603642,-0.0603642,-7.68536,0.0322937,-0.0322937,161.503,0.722,-0.722,6.16303,0.0274677,-0.0274677,16.147,0.078,-0.078,14.68,0.028,-0.028,11.896,0.023,-0.023,11.227,0.023,-0.023,11.05,0.021,-0.021,11.009,0.028,-0.028,11.001,0.028,-0.028,10.881,0.177,-0.177,7.993,14.0599,0.000302,-0.000302,13.1102,0.0073853,-0.0073853,14.05,4.0,0;;;;
549,EPIC 210401157.01,FALSE POSITIVE,1.0,0.0,0.0,1.0,1.31559,2.4e-05,-2.4e-05,0.0,102.0,68.0,-68.0,0.0,9.1,6.1,-6.1,0.0,2457065.96841,0.0007,-0.0007,0.0,1.8696,0.43,0.23,-0.23,6721.0,2.3,0.87,-0.87,59.3662764,13.4936805,-29.29086,176.91497,-6.81897,60.06534,10.784262,0.3583687,-0.3583687,-6.92559,0.422504,-0.422504,-8.26659,0.305413,-0.305413,262.672,16.345,-14.564,3.79482,0.217784,-0.217784,10.979,0.091,-0.091,10.485,0.006,-0.006,9.437,0.02,-0.02,9.206,0.024,-0.024,9.109,0.017,-0.017,9.042,0.023,-0.023,9.055,0.02,-0.02,9.03,0.034,-0.034,8.409,10.4364,0.001098,-0.001098,10.045,0.0063,-0.0063,10.418,4.0,0;;;;
551,EPIC 210414957.01,FALSE POSITIVE,1.0,0.0,0.0,1.0,0.96997227,,,0.0,,,,,,,,,2457062.192319,,,0.0,2.191,,,,5401.0,,,,64.3252762,13.8048326,-25.44382,180.20266,-7.42468,64.89339,8.5889117,0.0808108,-0.0808108,4.61914,0.0926146,-0.0926146,-7.24106,0.0754809,-0.0754809,474.61,11.143,-10.652,2.079,0.0479979,-0.0479979,14.183,0.008,-0.008,13.092,1.133,-1.133,10.818,0.022,-0.022,10.361,0.02,-0.02,10.216,0.018,-0.018,10.091,0.021,-0.021,10.097,0.018,-0.018,10.12,0.067,-0.067,8.792,12.6854,0.00032,-0.00032,11.9391,0.0129,-0.0129,12.655,4.0,0;;;;
554,EPIC 210423938.01,CANDIDATE,1.0,0.0,0.0,1.0,19.860476,0.001975,-0.002165,0.0,2.083,0.539,-0.218,0.0,0.19,0.05,-0.02,0.0,2457072.01609,0.004273,-0.003717,0.0,,0.02742,0.00705,-0.00275,4760.0,0.7,0.02,-0.02,60.3724029,14.0001347,-28.22593,177.23262,-6.51932,61.13172,14.8506924,0.0735661,-0.0735661,13.0385,0.0786851,-0.0786851,-7.10919,0.0528243,-0.0528243,148.954,0.949,-0.937,6.6849,0.0421817,-0.0421817,14.115,0.029,-0.029,12.978,0.069,-0.069,10.969,0.022,-0.022,10.373,0.022,-0.022,10.272,0.017,-0.017,10.201,0.023,-0.023,10.234,0.02,-0.02,10.148,0.071,-0.071,8.968,12.6611,0.0003,-0.0003,11.9676,0.006,-0.006,12.655,4.0,0;;;;
556,EPIC 210463428.01,CANDIDATE,1.0,0.0,0.0,1.0,4.72046,3.3e-05,-3.6e-05,0.0,8.7,2.6,-3.2,0.0,0.78,0.23,-0.29,0.0,2457062.41503,0.00034,-0.0003,0.0,1.8168,0.207,0.049,-0.076,,0.39,0.07,-0.01,64.2438245,14.7715619,-24.88624,179.32576,-6.45896,64.98442,56.1846251,2.0,-2.0,16.36,2.0,-2.0,-53.75,2.0,-2.0,143.9793,,,,,,16.591,0.098,-0.098,15.143,0.117,-0.117,11.505,0.022,-0.022,10.856,0.022,-0.022,10.654,0.018,-0.018,10.547,0.024,-0.024,10.444,0.021,-0.021,10.29,0.074,-0.074,8.713,14.1332,0.002304,-0.002304,12.986,0.0081166,-0.0081166,14.165,4.0,0;;;;
557,EPIC 210472483.01,CANDIDATE,1.0,0.0,0.0,1.0,1.1430018,,,0.0,,,,,,,,,2457062.307061,,,0.0,4.654,,,,5551.0,3.28,,,64.285922,14.9363492,-24.7492,179.21542,-6.30375,65.05356,13.1071833,0.0423732,-0.0423732,6.60383,0.0518352,-0.0518352,-11.322,0.0386294,-0.0386294,956.796,21.866,-20.926,1.01607,0.0231998,-0.0231998,14.586,0.058,-0.058,13.613,0.126,-0.126,11.423,0.022,-0.022,11.004,0.022,-0.022,10.875,0.019,-0.019,10.743,0.023,-0.023,10.742,0.02,-0.02,10.195,0.07,-0.07,8.067,13.171,0.001272,-0.001272,12.466,0.0096,-0.0096,13.179,4.0,0;;;;
558,EPIC 210495066.01,CANDIDATE,1.0,0.0,0.0,1.0,3.74234,0.00027,-0.00027,0.0,1.61,0.37,-0.22,0.0,0.144,0.033,-0.02,0.0,2457063.4744,0.0026,-0.0027,0.0,1.872,0.0293,0.0021,-0.0039,,0.5,0.11,-0.02,60.3093491,15.3279672,-27.38041,176.07308,-5.20568,61.33574,44.0231553,0.0762077,-0.0762077,35.1766,0.088058,-0.088058,-26.4697,0.0486805,-0.0486805,139.317,0.92,-0.908,7.14938,0.0467394,-0.0467394,17.208,0.061,-0.061,15.695,0.183,-0.183,12.331,0.022,-0.022,11.687,0.02,-0.02,11.441,0.02,-0.02,11.303,0.023,-0.023,11.225,0.021,-0.021,11.155,0.187,-0.187,8.801,14.7036,0.000375,-0.000375,13.6302,0.007292,-0.007292,14.724,4.0,0;;;;
559,EPIC 210508766.03,CANDIDATE,1.0,2.0,0.0,1.0,24.2747,0.0014,-0.0014,0.0,1.56,0.17,-0.25,0.0,0.139,0.015,-0.022,0.0,2457074.4696,0.0017,-0.0018,0.0,1.272,0.0337,0.0032,-0.0053,,0.42,0.03,-0.01,59.9013782,15.5587994,-27.51381,175.58174,-4.9012,60.99499,44.5828466,0.0560249,-0.0560249,-40.43,0.0596351,-0.0596351,-18.7895,0.0347211,-0.0347211,125.529,0.516,-0.512,7.9375,0.0323816,-0.0323816,16.058,0.087,-0.087,14.522,0.015,-0.015,11.599,0.021,-0.021,10.945,0.022,-0.022,10.765,0.018,-0.018,10.651,0.022,-0.022,10.633,0.021,-0.021,10.574,0.106,-0.106,8.853,13.8042,0.000341,-0.000341,12.8328,0.0073225,-0.0073225,13.844,4.0,0;;;;
560,EPIC 210513446.01,FALSE POSITIVE,1.0,0.0,0.0,1.0,1.14907861,,,0.0,,,,,,,,,2457062.419156,,,0.0,1.856,,,,5324.24,1.01,,,58.0186639,15.6353741,-28.7801,174.10701,-4.45309,59.2303,37.7129009,2.1916485,-2.1916485,34.7672,2.19165,-2.19165,14.6118,2.19164,-2.19164,260.903,,,,,,14.941,0.04,-0.04,14.204,0.137,-0.137,11.88,0.023,-0.023,11.336,0.031,-0.031,11.191,0.021,-0.021,11.12,0.023,-0.023,11.096,0.021,-0.021,11.171,0.163,-0.163,8.723,13.6704,0.000565,-0.000565,12.9992,0.006,-0.006,13.618,4.0,0;;;;
562,EPIC 210524811.01,CANDIDATE,1.0,0.0,0.0,1.0,7.46967,0.00052,-0.00056,0.0,2.4,0.81,-2.25,0.0,0.21,0.072,-0.201,0.0,2457069.1588,0.003,-0.0026,0.0,1.656,0.079,0.024,-0.073,,0.28,0.04,-0.04,65.0559891,15.819996,-23.61266,178.99511,-5.56017,65.94104,68.472541,0.1110586,-0.1110586,10.7085,0.141946,-0.141946,-67.63,0.110173,-0.110173,106.003,0.825,-0.813,9.4057,0.0723272,-0.0723272,18.42,0.0,0.0,14.744,1.03,-1.03,12.797,0.022,-0.022,12.192,0.019,-0.019,11.95,0.022,-0.022,11.813,0.023,-0.023,11.653,0.022,-0.022,11.479,0.205,-0.205,8.752,15.5862,0.000854,-0.000854,14.3455,0.0074551,-0.0074551,15.012,4.0,0;;;;
563,EPIC 210550063.01,CANDIDATE,1.0,0.0,0.0,1.0,2.165976,3.3e-05,-2.8e-05,0.0,2.61,0.44,-0.53,0.0,0.233,0.039,-0.047,0.0,2457062.81932,0.00057,-0.00062,0.0,1.5264,0.0217,0.0012,-0.0033,,1.1,0.18,-0.15,61.1318619,16.216647,-26.19681,175.93419,-4.48864,62.28897,12.4677153,0.0673249,-0.0673249,-8.14301,0.0907344,-0.0907344,-9.44115,0.0421913,-0.0421913,216.411,2.281,-2.235,4.59258,0.0478483,-0.0478483,12.049,0.044,-0.044,11.429,0.046,-0.046,10.015,0.024,-0.024,9.724,0.024,-0.024,9.626,0.018,-0.018,9.595,0.023,-0.023,9.597,0.02,-0.02,9.576,0.044,-0.044,8.929,11.163,0.000873,-0.000873,10.6839,0.0061,-0.0061,11.147,4.0,0;;;;
565,EPIC 210559259.01,CANDIDATE,1.0,0.0,0.0,1.0,14.27669647,,,0.0,,,,,,,,,2457063.40874,,,0.0,4.457,,,,5160.0,0.7,0.04,-0.04,59.4758973,16.3575273,-27.26788,174.60973,-4.03645,60.75439,38.2504982,0.0375288,-0.0375288,9.775,0.0784455,-0.0784455,-36.9804,0.0328155,-0.0328155,254.162,2.189,-2.152,3.9059,0.0333473,-0.0333473,15.076,0.034,-0.034,14.06,0.183,-0.183,11.954,0.02,-0.02,11.443,0.024,-0.024,11.323,0.017,-0.017,11.241,0.023,-0.023,11.301,0.022,-0.022,11.239,0.184,-0.184,8.779,13.6004,0.000302,-0.000302,12.9272,0.0061,-0.0061,13.699,4.0,0;;;;
568,EPIC 210564155.01,CANDIDATE,1.0,0.0,0.0,1.0,4.86406,0.00028,-0.00028,0.0,1.09,0.13,-0.13,0.0,0.097,0.012,-0.012,0.0,2457096.759,0.001,-0.001,0.0,,0.035,0.002,-0.002,3407.0,0.3,0.01,-0.01,60.4636158,16.4328519,-26.52369,175.27283,-4.15175,61.70033,135.3898427,0.0906705,-0.0906705,68.9963,0.12747,-0.12747,-116.49,0.0735187,-0.0735187,59.9697,0.2508,-0.2487,16.6466,0.0689277,-0.0689277,17.23,0.0,0.0,15.83,0.2,-0.2,11.809,0.022,-0.022,11.256,0.022,-0.022,10.993,0.018,-0.018,10.813,0.023,-0.023,10.654,0.021,-0.021,10.657,0.099,-0.099,8.499,14.5207,0.000365,-0.000365,13.3058,0.0072752,-0.0072752,14.595,4.0,0;;;;
570,EPIC 210576234.01,CANDIDATE,1.0,0.0,0.0,1.0,15.97700259,,,0.0,,,,,,,,,2457071.678859,,,0.0,4.926,,,,5692.43,1.05,,,53.7726155,16.615182,-30.93732,169.95791,-2.58683,55.46614,38.7241527,2.8983611,-2.8983611,5.0,2.8,-2.8,-38.4,2.9,-2.9,198.032,,,,,,12.546,0.305,-0.305,11.343,0.034,-0.034,10.207,0.021,-0.021,9.828,0.02,-0.02,9.734,0.017,-0.017,9.675,0.023,-0.023,9.716,0.02,-0.02,9.682,0.054,-0.054,8.709,11.5746,0.000347,-0.000347,11.0457,0.006,-0.006,11.603,4.0,0;;;;
571,EPIC 210598340.01,CANDIDATE,1.0,0.0,0.0,1.0,3.7342439,9e-06,-9.1e-06,0.0,30.71,0.54,-6.89,0.0,2.74,0.048,-0.615,0.0,2457063.09402,9.2e-05,-9.1e-05,0.0,5.736,0.10655,0.00053,-0.00183,,2.64,0.04,-0.59,56.8687464,16.9416013,-28.64965,172.16277,-2.94052,58.43075,9.2658268,0.0747836,-0.0747836,5.46355,0.0931413,-0.0931413,-7.48366,0.0628452,-0.0628452,798.465,30.87,-28.696,1.22352,0.0463652,-0.0463652,13.303,0.071,-0.071,12.66,0.057,-0.057,11.222,0.021,-0.021,10.953,0.021,-0.021,10.876,0.02,-0.02,10.813,0.022,-0.022,10.825,0.021,-0.021,10.967,0.146,-0.146,9.002,12.4537,0.000225,-0.000225,11.9736,0.0087,-0.0087,12.537,4.0,0;;;;
573,EPIC 210605073.01,CANDIDATE,1.0,0.0,0.0,1.0,0.567055,0.000145,-0.000145,0.0,16.22,6.26,-6.26,0.0,1.447,0.558,-0.558,0.0,2457127.43651,0.00056,-0.00056,0.0,,0.1047,0.007,-0.004,7020.0,1.42,0.54,-0.54,65.623286,17.0378768,-22.4138,178.35967,-4.44996,66.68331,3.7160737,0.2605304,-0.2605304,1.03865,0.34055,-0.34055,-3.56797,0.252587,-0.252587,1629.15,581.39,-370.02,0.499719,0.188789,-0.188789,,,,17.8854,0.0459,-0.0459,,,,,,,,,,,,,,,,,,,,17.8605,0.001453,-0.001453,17.8314,0.0107,-0.0107,17.887,4.0,0;;;;
575,EPIC 210609658.01,CANDIDATE,1.0,0.0,0.0,1.0,14.145239,0.000445,-0.000468,0.0,14.864,1.813,-1.516,0.0,1.33,0.16,-0.14,0.0,2457074.40556,0.001149,-0.001113,0.0,,0.06327,0.00153,-0.00188,5016.0,2.15,0.26,-0.21,55.7168593,17.1014246,-29.30581,171.13513,-2.54124,57.39069,19.9756103,0.0535618,-0.0535618,4.49759,0.0723935,-0.0723935,-19.4627,0.052366,-0.052366,644.682,16.284,-15.514,1.52254,0.0379603,-0.0379603,14.133,0.103,-0.103,12.907,0.08,-0.08,10.747,0.022,-0.022,10.2,0.022,-0.022,10.079,0.018,-0.018,9.994,0.022,-0.022,10.047,0.021,-0.021,10.053,0.062,-0.062,8.621,12.5676,0.000784,-0.000784,11.8415,0.0084,-0.0084,12.587,4.0,0;;;;
577,EPIC 210625740.01,CANDIDATE,1.0,0.0,0.0,1.0,2.386772,7.2e-05,-7.3e-05,0.0,4.0,1.5,-6.5,0.0,0.4,0.13,-0.58,0.0,2457062.693,0.0013,-0.0013,0.0,1.08,0.128,0.027,-0.126,,0.29,0.09,-0.37,61.0019418,17.3280323,-25.5379,174.92997,-3.37413,62.38152,29.1681623,0.1679742,-0.1679742,-1.99291,0.310314,-0.310314,-29.1,0.167021,-0.167021,245.861,9.939,-9.208,4.04704,0.156868,-0.156868,,,,,,,14.73,0.036,-0.036,14.181,0.052,-0.052,13.884,0.057,-0.057,13.67,0.025,-0.025,13.45,0.032,-0.032,12.012,,,8.748,17.7786,0.000944,-0.000944,16.4419,0.008069,-0.008069,16.942,4.0,0;;;;
579,EPIC 210626797.01,CANDIDATE,1.0,0.0,0.0,1.0,43.36143,0.00065,-0.00066,0.0,29.8,9.3,-12.3,0.0,2.66,0.83,-1.1,0.0,2457072.56623,0.00046,-0.00045,0.0,6.84,0.186,0.048,-0.076,,1.47,0.26,-0.07,54.2949263,17.3427499,-30.06418,169.80876,-1.99622,56.12247,12.7998876,0.0659514,-0.0659514,-8.82226,0.0754697,-0.0754697,-9.27388,0.0559591,-0.0559591,647.062,17.938,-17.012,1.51687,0.0414164,-0.0414164,13.494,0.039,-0.039,13.016,0.126,-0.126,11.707,0.022,-0.022,11.434,0.022,-0.022,11.39,0.018,-0.018,11.335,0.024,-0.024,11.336,0.021,-0.021,11.584,0.237,-0.237,8.435,12.7841,0.000217,-0.000217,12.369,0.0086,-0.0086,12.773,4.0,0;;;;
580,EPIC 210629082.01,CANDIDATE,1.0,0.0,0.0,1.0,27.353103,0.00729,-0.007472,0.0,3.05,0.693,-0.428,0.0,0.27,0.06,-0.04,0.0,2457086.01487,0.005137,-0.005169,0.0,,0.01931,0.00293,-0.00123,6148.0,1.45,0.25,-0.18,57.2668796,17.3754864,-28.07376,172.12155,-2.59929,58.89662,18.3242466,0.0768018,-0.0768018,-15.0886,0.0857874,-0.0857874,-10.3977,0.0531222,-0.0531222,386.599,6.275,-6.08,2.55836,0.0410146,-0.0410146,12.156,0.381,-0.381,12.208,0.04,-0.04,10.248,0.022,-0.022,9.918,0.022,-0.022,9.817,0.019,-0.019,9.742,0.022,-0.022,9.775,0.021,-0.021,9.727,0.055,-0.055,8.923,11.6065,0.000427,-0.000427,11.0503,0.017,-0.017,11.58,4.0,0;;;;
581,EPIC 210659688.01,CANDIDATE,1.0,0.0,0.0,1.0,2.35771,0.00011,-0.00011,0.0,3.0,1.8,-1.8,0.0,0.27,0.16,-0.16,0.0,2457065.0207,0.0016,-0.0016,0.0,0.3504,0.104,0.055,-0.055,3655.0,0.27,0.05,-0.05,55.5807493,17.8002937,-28.89107,170.47444,-1.83107,57.42116,95.7788758,0.1528076,-0.1528076,57.2901,0.189316,-0.189316,-76.7557,0.12803,-0.12803,165.303,3.02,-2.916,6.02358,0.107751,-0.107751,19.555,0.163,-0.163,17.6,0.2,-0.2,13.57,0.026,-0.026,12.936,0.026,-0.026,12.694,0.03,-0.03,12.537,0.023,-0.023,12.346,0.024,-0.024,11.992,,,8.826,16.4023,0.001083,-0.001083,15.1284,0.0077591,-0.0077591,16.499,4.0,0;;;;
583,EPIC 210659945.01,CANDIDATE,1.0,0.0,0.0,1.0,27.9329,0.0083,-0.004,0.0,2.51,0.66,-0.42,0.0,0.224,0.059,-0.037,0.0,2457073.16,0.0045,-0.0126,0.0,3.24,0.0402,0.003,-0.0066,,0.57,0.14,-0.02,55.0113018,17.8043597,-29.26067,170.02053,-1.70426,56.89375,54.8249651,2.0,-2.0,23.82,2.0,-2.0,-49.38,2.0,-2.0,275.4387,,,,,,17.006,0.067,-0.067,15.69,0.053,-0.053,12.576,0.021,-0.021,11.917,0.02,-0.02,11.708,0.02,-0.02,11.583,0.279,-0.279,11.538,0.021,-0.021,11.534,0.245,-0.245,8.852,14.9653,0.001156,-0.001156,13.9314,0.0077488,-0.0077488,15.005,4.0,0;;;;
584,EPIC 210664763.01,CANDIDATE,1.0,0.0,0.0,1.0,3.72007,0.00047,-0.00035,0.0,1.55,0.2,-0.33,0.0,0.138,0.02,-0.029,0.0,2457064.2512,0.0045,-0.0065,0.0,1.224,0.0145,0.0015,-0.003,,0.99,0.08,-0.03,52.5196213,17.8712249,-30.80785,167.94231,-1.08146,54.60343,32.3589281,0.0631347,-0.0631347,3.25303,0.089521,-0.089521,-32.195,0.0628082,-0.0628082,360.781,5.68,-5.51,2.74348,0.0426552,-0.0426552,13.483,0.061,-0.061,12.839,0.08,-0.08,11.498,0.021,-0.021,11.208,0.023,-0.023,11.141,0.02,-0.02,11.092,0.022,-0.022,11.11,0.021,-0.021,11.014,0.156,-0.156,8.877,12.6579,0.000185,-0.000185,12.1926,0.011,-0.011,12.699,4.0,0;;;;
585,EPIC 210666756.01,CANDIDATE,1.0,0.0,0.0,1.0,1.396291,8.2e-05,-8.2e-05,0.0,1.89,0.44,-0.44,0.0,0.169,0.039,-0.039,0.0,2457066.1862,0.0022,-0.0022,0.0,1.00104,0.0167,0.0015,-0.0015,5728.0,1.02,0.22,-0.22,58.435751,17.8987325,-26.91479,172.5883,-2.32392,60.09722,39.2769417,0.0542996,-0.0542996,-18.5639,0.0705288,-0.0705288,-34.613,0.0486386,-0.0486386,311.107,3.87,-3.779,3.18594,0.0392121,-0.0392121,13.955,0.022,-0.022,13.132,0.08,-0.08,11.298,0.026,-0.026,10.93,0.036,-0.036,10.767,0.027,-0.027,10.445,0.022,-0.022,10.469,0.02,-0.02,10.346,0.08,-0.08,8.218,12.9104,0.000277,-0.000277,12.3083,0.0085,-0.0085,12.735,4.0,0;;;;
587,EPIC 210678858.01,CANDIDATE,1.0,0.0,0.0,1.0,31.3537,0.0019,-0.0019,0.0,3.85,0.25,-0.29,0.0,0.343,0.022,-0.026,0.0,2457073.0196,0.0014,-0.0015,0.0,5.016,0.0432,0.0022,-0.003,,0.82,0.03,-0.02,51.5489144,18.0665887,-31.26626,166.97946,-0.66606,53.75586,31.4944627,0.0848714,-0.0848714,24.381,0.09347,-0.09347,-19.9366,0.0700697,-0.0700697,218.685,2.002,-1.967,4.54433,0.0411894,-0.0411894,13.841,0.025,-0.025,13.006,0.103,-0.103,11.231,0.018,-0.018,10.775,0.016,-0.016,10.679,0.019,-0.019,10.604,0.022,-0.022,10.673,0.021,-0.021,10.685,0.106,-0.106,8.499,12.6821,0.000171,-0.000171,12.0797,0.006,-0.006,12.736,4.0,0;;;;
