,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
9281,K08020.01,-1,1,0,1,1,0.93377253,2454965.429,0.004,2.544,30.0,0.004968,0.51751,0.43,0.0179,89.91,1644.0,1734.32,2.88,0.4341,4.2303095,7.283076,8.4,1436.0,11111111111111111000000000000000,0.9978,5595.0,4.581,-0.24,0.796,0.89,292.24588,47.63343,14.644,0.124,1.2,-2.0,-2.7e-05,5e-05,-3.24,-2.92,4.36,-3.45,-2.86,4.48
9282,K08021.01,-1,0,0,0,1,0.93376021,2454965.441,0.297,3.182,56.5,0.006809,0.24707,0.4,0.0153,82.41,1019.0,253.97,2.25,0.5081,3.2390294,7.4996095,9.5,1439.0,11111111111111111000000000000000,0.795,3885.0,4.71,-0.1,0.54,0.545,292.17847,47.750751,15.446,0.246,-2.3,-0.2,0.000126,-8e-06,-3.82,-3.63,5.3,-4.01,-3.86,5.6
9283,K08022.01,-1,0,0,0,1,0.93372008,2454964.544,0.413,2.591,17.0,0.003855,0.38468,0.41,0.0187,80.88,1990.0,3704.01,2.608,0.3071,3.1863334,7.328449,7.9,1438.0,11111111111111111000000000000000,0.9747,6221.0,4.452,-0.32,0.983,0.995,292.18378,47.722832,13.793,0.921,0.0,-0.1,1e-06,6e-06,-1.93,-1.88,2.69,-2.0,-1.97,2.81
9284,K08023.01,-1,1,0,1,1,0.93373591,2454965.46,0.21,4.517,35.1,0.00545,0.10193,0.57,0.0185,82.8,1904.0,3116.05,1.675,0.3342,3.3167045,7.846678,10.8,1440.0,11111111111111111000000000000000,0.6658,6028.0,4.47,-0.26,0.95,0.969,292.19623,47.76659,14.92,0.159,3.2,-1.3,-7.8e-05,3.1e-05,-1.4,-1.91,2.34,-1.4,-1.97,2.4
9285,K08024.01,-1,0,0,1,1,0.93374911,2454965.453,0.505,3.504,57.8,0.007162,0.15237,0.66,0.0183,74.71,1793.0,2442.7,1.915,0.3342,3.5266862,8.053959,8.4,1439.0,11111111111111111000000000000000,0.97,5978.0,4.554,-0.38,0.846,0.932,292.2276,47.746262,15.767,0.07,-3.1,1.0,0.000155,-4.5e-05,-3.81,-1.7,4.17,-3.69,-1.59,4.02
9286,K08025.01,-1,1,0,1,0,0.93372261,2454964.542,0.534,3.052,31.2,0.005273,0.20714,0.59,0.0186,75.43,1949.0,3430.76,2.121,0.3511,3.6911924,7.943396,8.2,1439.0,11111111111111111000000000000000,0.6172,5984.0,4.419,-0.14,1.017,0.991,292.31165,47.72583,14.862,0.106,2.7,-0.5,-9.4e-05,2e-05,-0.62,-1.17,1.33,-0.5,-1.12,1.21
9287,K08125.01,-1,1,0,0,0,312.61007,2455158.378,0.601,14.85,438.7,0.019933,0.45114,2.01,0.914,89.74,258.0,1.05,132.6,0.4096,8.6571865,10.018782,11.9,5.0,11111111111111111000000000000000,0.596,5818.0,4.523,0.07,0.925,1.039,290.08203,42.071129,14.728,0.006,0.9,-2.5,-0.00042,0.00108,-2.35,-2.46,3.4,-2.43,-2.55,3.52
9288,K08126.01,-1,1,0,0,0,429.60143,2455102.526,0.025,18.11,1001.4,0.028607,0.66367,2.74,1.0729,89.99,223.0,0.58,186.4,0.4415,7.190926,7.777109,12.2,4.0,11111111111111111000000000000000,0.1979,5587.0,4.502,-0.1,0.877,0.891,289.96942,42.138859,15.596,0.191,2.0,-1.1,-0.0021,0.0013,,,,,,
9289,K08127.01,-1,1,0,0,0,499.88159,2455152.311,0.671,13.39,184.4,0.013178,0.76772,2.61,1.3018,89.82,338.0,3.07,216.0,0.2893,6.13488,7.215234,12.4,3.0,11111111111111111000000000000000,0.0968,6486.0,3.992,-0.32,1.812,1.174,286.08136,42.30574,12.968,0.44,3.5,-2.1,-7e-05,0.00021,4.86,-2.11,5.3,5.3,-2.09,5.7
9290,K08128.01,-1,1,0,0,0,197.37704,2455139.769,1.277,18.71,226.2,0.288625,0.00125,84.37,0.9437,84.65,815.0,104.45,13.71,0.1733,7.068997,8.287655,15.1,6.0,11111111111111111000000000000000,0.0054,10974.0,4.041,0.07,2.677,2.873,286.91888,42.306129,10.734,0.365,-1.16,-0.22,8.9e-05,-1.4e-05,-2.9,-1.15,3.2,-2.6,-1.46,3.0
9291,K08129.01,-1,0,0,1,0,1.65746034,2454964.697,0.193,4.572,22.9,0.00437,0.15063,0.54,0.0273,86.04,1663.0,1808.13,2.8,0.4035,3.7539244,7.3753715,9.1,806.0,11111111111111111000000000000000,0.6031,5860.0,4.326,-0.02,1.13,0.987,297.92798,42.310829,13.869,0.0,-6.6,-2.9,0.000143,6.1e-05,-3.07,-0.59,3.12,-3.09,-0.59,3.15
9292,K08130.01,-1,0,0,1,1,0.566799395,2454964.797,0.042,1.5368,231.2,0.014025,1.45961,1.65,0.0139,89.17,2448.0,8550.93,2.916,0.319,5.586859,9.24758,33.7,2302.0,01111111111111111000000000000000,0.912,6322.0,4.426,-0.12,1.075,1.124,293.26727,42.42807,15.557,0.0,-9.7,-5.2,0.00063,0.00038,-3.6,-2.31,4.26,-3.7,-2.18,4.3
9293,K08131.01,-1,1,0,0,0,203.8406,2455083.626,0.04,9.33,227.4,0.013668,2.19653,2.41,0.6522,89.99,385.0,5.21,169.0,0.4173,5.9334483,8.275805,8.6,6.0,11111111111111111000000000000000,0.3933,5548.0,3.97,-0.32,1.616,0.889,287.24051,42.573139,13.499,0.183,-0.72,0.21,0.00018,-0.00016,-0.76,-1.6,1.79,-0.76,-1.8,1.9
9294,K08233.01,-1,0,0,1,0,14.395425,2454973.977,0.398,5.12,115.4,0.009961,0.72559,0.85,0.1102,88.86,672.0,48.08,19.96,0.3556,4.5280185,7.164427,9.4,93.0,11111111111111111000000000000000,0.2231,5715.0,4.586,-0.4,0.782,0.872,291.48068,50.47366,13.686,0.0,1.14,-0.94,0.000195,0.000101,-0.14,0.12,0.19,6.8,2.32,7.19
9295,K08234.01,-1,1,0,0,0,231.157554,2455179.949,0.749,8.489,845.6,0.028907,1.11779,37.37,1.0732,89.71,789.0,91.65,146.7,0.4373,6.5805106,7.2638607,17.4,3.0,11100100011001000000000000000000,0.8247,5386.0,2.78,0.07,11.839,3.083,295.39795,50.539268,13.451,0.093,-0.34,0.58,0.00044,-0.00038,0.11,0.08,0.13,0.12,0.06,0.13
9296,K08235.01,-1,1,0,0,0,495.06538,2455078.567,0.341,21.09,417.0,0.018892,0.39428,2.0,1.2451,89.89,236.0,0.74,172.2,0.3511,6.538882,7.30823,13.2,3.0,11111111111111111000000000000000,0.0471,6075.0,4.486,-0.12,0.969,1.048,296.65671,50.68721,14.116,0.01,0.1,2.2,0.00065,0.00053,-3.19,-2.54,4.07,-1.66,0.87,1.88
9297,K08236.01,-1,1,0,0,0,595.78152,2455196.768,0.164,15.97,84.9,0.008368,1.21387,1.18,1.3209,89.97,245.0,0.85,283.5,0.4288,6.94594,7.808413,10.6,3.0,11111111111111111000000000000000,0.5299,5618.0,4.155,-0.18,1.288,0.865,288.19321,50.921619,11.446,0.149,2.0,-0.8,-0.00021,0.00012,-1.62,0.52,1.71,-1.68,0.92,1.92
9298,K08237.01,-1,1,0,0,0,365.709623,2455016.49,0.338,13.553,1033.4,0.02894,1.13756,26.93,1.0423,89.9,604.0,31.42,200.4,0.5864,6.1989965,7.3431087,15.1,4.0,11110110011001000000000000000000,0.9388,4787.0,2.629,-0.3,8.522,1.129,288.81714,51.592911,13.888,0.023,0.08,0.35,-0.0004,0.00063,-0.11,0.13,0.17,-0.22,0.08,0.23
9299,K08238.01,0,0,0,0,0,495.662346,2455394.413,0.949,4.428,675.7,0.030468,3.13843,2.73,1.1347,89.84,207.0,0.43,344.0,0.421,5.451124,8.735098,10.2,3.0,00011111111111111000000000000000,0.7302,5515.0,4.509,-0.34,0.82,0.791,289.09082,51.532009,14.322,0.088,-0.7,-1.8,0.0003,0.00106,-0.29,-0.14,0.32,-0.25,0.26,0.36
