,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,ra,dec
3622,K02924.01,CONFIRMED,2.279523364,0.87,126.8,5017.0,0.797,4.516,292.4404,43.209431
3623,K02926.01,CONFIRMED,12.2854718,2.21,1617.1,3891.0,0.564,4.718,283.33606,47.174541
3624,K02926.02,CONFIRMED,5.53609368,2.2,1223.3,3891.0,0.564,4.718,283.33606,47.174541
3625,K02706.01,CANDIDATE,3.09756897,1.75,83.3,6329.0,1.885,4.026,285.07767,46.419601
3626,K02707.01,CONFIRMED,58.0337426,3.21,807.1,5467.0,1.152,4.271,299.50174,40.670799
3627,K02707.02,CONFIRMED,14.4252635,1.68,221.2,5467.0,1.152,4.271,299.50174,40.670799
3628,K02707.03,CONFIRMED,26.6757818,2.69,474.8,5467.0,1.152,4.271,299.50174,40.670799
3629,K02708.01,CONFIRMED,0.868386354,1.52,488.5,4792.0,0.704,4.627,288.43359,40.380878
3630,K02768.01,CONFIRMED,11.8288843,1.18,191.0,5653.0,0.857,4.551,286.39862,45.343529
3631,K02769.01,FALSE POSITIVE,1.480323978,1.46,166.2,5996.0,1.081,4.342,282.01251,46.4282
3632,K02770.01,CANDIDATE,205.385912,2.11,1248.7,4400.0,0.624,4.659,290.25385,48.360821
3633,K00041.02,CONFIRMED,6.88707073,1.3,68.7,5788.0,1.474,4.122,291.38599,41.990269
3634,K02850.01,FALSE POSITIVE,1.11431205,1.07,160.4,5776.0,0.849,4.554,295.86008,39.140839
3635,K02851.01,CANDIDATE,3.42064689,2.27,356.8,5370.0,0.966,4.411,293.56635,42.13258
3636,K02851.02,CANDIDATE,1.23935745,1.5,150.9,5370.0,0.966,4.411,293.56635,42.13258
3637,K02852.01,CONFIRMED,0.675650404,1.36,200.7,5966.0,0.961,4.493,294.76697,41.64468
3638,K02853.01,CANDIDATE,1.407020118,1.12,181.9,5022.0,0.849,4.485,290.43323,51.626041
3639,K02927.01,CANDIDATE,24.4359956,2.31,496.6,6197.0,1.035,4.449,290.54007,41.09304
3640,K02928.01,FALSE POSITIVE,17.7337356,1.24,217.3,5335.0,0.831,4.56,290.2471,38.33939
3641,K02929.01,FALSE POSITIVE,10.06478627,1.49,285.7,5438.0,0.82,4.574,288.96942,44.359009
