,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,ra,dec
0,BD+20 594 b,CONFIRMED,41.6855,2.578,0.049,5766.0,1.08,4.5,53.6511231,20.5990205
1,EPIC 201111557.01,CANDIDATE,2.302368,1.313,,4720.0,0.71,4.5,183.8462454,-6.2683289
2,EPIC 201126503.01,CANDIDATE,1.1947488,4.19,0.448,3919.0,0.57,,175.9385954,-5.8733592
3,EPIC 201127519.01,CANDIDATE,6.178369,9.913,,5015.0,0.79,4.67,181.3718091,-5.8482738
4,EPIC 201147085.01,CANDIDATE,1.17589,0.86,0.0686,,0.31,,173.902664,-5.364612
5,EPIC 201152065.01,CANDIDATE,10.6966,1.45,0.0557,,0.59,,173.0432884,-5.2471672
6,EPIC 201160662.01,CANDIDATE,1.5374115,45.0,1.4564,,1.6,,174.9978388,-5.0404536
7,EPIC 201164625.01,CANDIDATE,2.71189,4.34,0.02,6402.0,3.17,3.54,181.5936878,-4.9467043
8,EPIC 201166680.01,CANDIDATE,18.10549,2.1,,6213.0,1.22,4.32,181.1211419,-4.8991358
9,EPIC 201170410.02,CONFIRMED,6.7987,1.047,,3648.0,0.28,5.0,170.1408561,-4.8070039
10,EPIC 201176672.01,CANDIDATE,79.9999,10.2,,4542.0,0.51,4.75,169.1498727,-4.6564416
11,EPIC 201176672.02,CANDIDATE,,30.0,3.06,,0.71,,169.1498727,-4.6564416
12,EPIC 201180665.01,CANDIDATE,17.77297,26.44,3.662,5847.0,1.25,4.27,184.1697015,-4.5603949
13,EPIC 201182911.01,CANDIDATE,0.99656225,32.8,35.5,3727.0,0.5,,172.7104166,-4.5075924
14,EPIC 201197348.01,CANDIDATE,14.9139,3.24,0.24,,0.65,,177.0948891,-4.1644059
15,EPIC 201231940.01,CANDIDATE,0.57303573,3.35,0.51,3570.0,0.43,,174.1207146,-3.4828286
16,EPIC 201238110 b,CONFIRMED,28.1696,2.2,0.316,,0.37,,179.7058532,-3.3894613
17,EPIC 201238110.01,CANDIDATE,7.90417,2.06,0.268,,0.37,,179.7058532,-3.3894613
18,EPIC 201238163.01,CANDIDATE,1.0829614,1.56,0.0655,3875.0,0.56,,173.2627978,-3.3887192
19,EPIC 201239401.01,CANDIDATE,0.90552205,1.52,0.0791,3710.0,0.5,,173.0528796,-3.370321
20,EPIC 201247497.01,CANDIDATE,2.75391,3.78,,3918.0,0.44,4.85,177.9464521,-3.2460183
21,EPIC 201257461.01,FALSE POSITIVE,50.285869,3.47,0.184,4859.0,0.74,,178.1611264,-3.0949095
22,EPIC 201258341.01,CANDIDATE,10.50439,1.75,0.0402,,0.88,,178.6905819,-3.0828192
23,EPIC 201259803.01,CANDIDATE,1.684208,5.51,1.476,,0.43,,170.382257,-3.0610326
24,EPIC 201264302.01,CANDIDATE,0.2122013,0.519,0.0725,,0.19,,169.5971097,-2.9913978
25,EPIC 201270176.01,CANDIDATE,1.5778643,7.55,0.891,4811.0,0.73,,170.1325248,-2.9026339
26,EPIC 201270464.01,CANDIDATE,1.57771549,,0.875,7333.0,2.57,3.84,170.133417,-2.8982132
27,EPIC 201274010.01,CANDIDATE,13.0113,2.43,0.065,5347.0,0.88,4.51,183.3092954,-2.844186
28,EPIC 201291843.01,CANDIDATE,40.70206194,,0.536,3759.0,0.57,4.67,178.420349,-2.5717754
29,EPIC 201299088.01,CANDIDATE,21.204739,9.11,,5154.0,1.76,3.91,182.2046312,-2.4646145
30,EPIC 201324549.01,FALSE POSITIVE,2.51881781,,0.215,6380.0,1.76,,171.2359519,-2.0851597
31,EPIC 201352100.01,CANDIDATE,13.383629,2.873,,5216.0,0.82,4.7,184.0351247,-1.6737612
32,EPIC 201357835.01,CANDIDATE,11.8951,,,5040.0,0.68,,185.1812113,-1.5883337
33,EPIC 201359834.01,CANDIDATE,40.1401,20.8,1.896,,0.72,,173.1750869,-1.5587834
34,EPIC 201366540.01,CANDIDATE,7.4433,2.73,0.116,,0.72,,168.7367646,-1.4622181
35,EPIC 201390927.01,CANDIDATE,2.638,2.91,0.11,4264.47,,,184.5853275,-1.0989451
36,EPIC 201392505.01,CANDIDATE,27.47083,3.36,0.15,4947.03,0.75,4.6,183.188479,-1.0748315
37,EPIC 201407812.01,CANDIDATE,2.8268121,40.1,14.1,5736.0,0.98,,174.0440867,-0.8407078
38,EPIC 201427007 b,CONFIRMED,0.72091,1.5,,5633.0,0.94,4.4,184.6021322,-0.5512886
39,EPIC 201441872.01,CANDIDATE,4.4416421,1.17,0.0143,5547.0,0.9,,173.6002346,-0.3345702
40,EPIC 201445732.01,CANDIDATE,11.20381,2.18,0.0354,,1.1,,170.6512345,-0.2798534
41,EPIC 201456770.01,CANDIDATE,8.006875,2.384,,5403.0,0.85,4.54,185.6973984,-0.1218824
42,EPIC 201488365.01,CANDIDATE,3.3643115,85.6,35.2,6240.0,1.32,,168.187478,0.3478732
43,EPIC 201497682 b,CONFIRMED,2.13174,0.692,,,,,168.9366786,0.4880606
44,EPIC 201497682.01,CANDIDATE,13.837814,1.96,0.0663,4535.0,0.7,,168.9366786,0.4880606
45,EPIC 201497682.02,CANDIDATE,7.7991586,1.57,0.0423,4535.0,0.7,,168.9366786,0.4880606
46,EPIC 201497682.04,CANDIDATE,3.883,1.06,0.0322,,0.55,,168.9366786,0.4880606
47,EPIC 201512465.01,CANDIDATE,2.333123,2.95,1.27,,0.22,,173.5625041,0.7138555
48,EPIC 201515470.01,CANDIDATE,20.2073,2.12,0.0735,,0.76,,171.2596557,0.7613692
49,EPIC 201516974.01,CANDIDATE,36.7099,,,5069.12,5.34,,174.3144865,0.782986
50,EPIC 201528215.01,CANDIDATE,6.39916,1.48,0.0401,,0.7,,172.804304,0.9586366
51,EPIC 201534540.01,CANDIDATE,2.72273204,,1.494,8002.0,2.86,3.81,171.6509741,1.055162
52,EPIC 201541160.01,CANDIDATE,15.695142,2.028,,4270.0,0.62,4.72,163.0590829,1.1547858
53,EPIC 201543531.01,CANDIDATE,2.48038,1.44,0.0116,,1.27,,172.8169888,1.1908377
54,EPIC 201546136.01,CANDIDATE,1.96712,1.73,0.0361,,0.83,,169.1468835,1.2284084
55,EPIC 201556134.01,CANDIDATE,12.726743,1.91,0.0579,4767.0,0.73,,177.9249905,1.3796544
56,EPIC 201561956.01,CANDIDATE,13.2359,2.09,0.0469,,0.92,,177.2334424,1.4654037
57,EPIC 201565013.01,CANDIDATE,8.6382631,8.53,2.43,3720.0,0.5,,176.9920988,1.5102769
58,EPIC 201569483.01,FALSE POSITIVE,5.7968861,24.2,9.43,4721.0,0.72,,167.1711994,1.5774487
59,EPIC 201577017.01,CANDIDATE,0.4775252,20.1,1.5255,,0.52,,174.6740618,1.690222
60,EPIC 201577112.01,CANDIDATE,44.394,4.07,1.517,,0.32,,177.7087476,1.6919004
61,EPIC 201588420.01,CANDIDATE,3.2908998,1.57,0.0406,4671.0,0.72,,170.9344032,1.8638671
62,EPIC 201595106 b,CONFIRMED,0.87703,1.2,0.025,5711.17,0.99,4.45,183.7203635,1.9681688
63,EPIC 201596733.01,CANDIDATE,2.896528,1.45,0.3274,,0.24,,170.6789065,1.993208
64,EPIC 201606542.01,CANDIDATE,0.44433632,1.01,0.0134,5208.0,0.8,,170.3118083,2.1443791
65,EPIC 201615463 c,CONFIRMED,3.80464,1.22,,,,,185.1880932,2.2823788
66,EPIC 201617985.01,CANDIDATE,7.28131,1.9,0.116,3748.0,0.51,,179.4915118,2.321497
67,EPIC 201619647.01,CANDIDATE,4.58328,2.21,0.152,,0.55,,167.4476762,2.3473081
68,EPIC 201619647.02,CANDIDATE,1.65336,1.51,0.0686,,0.55,,167.4476762,2.3473081
69,EPIC 201626686.01,CANDIDATE,5.28130579,,0.074,6161.41,2.67,3.65,169.4469645,2.4560803
70,EPIC 201631267.01,CANDIDATE,440.0,16.3,,4600.0,0.85,,173.6964045,2.5270664
71,EPIC 201635132.01,CANDIDATE,30.0,22.8,,3400.0,0.89,,170.1327528,2.58692
72,EPIC 201635132.02,CANDIDATE,,24.9,3.177,,0.6,,170.1327528,2.58692
73,EPIC 201639576.01,CANDIDATE,7.655533,2.328,,5114.0,0.75,4.69,166.0603718,2.6557881
74,EPIC 201649426.01,FALSE POSITIVE,27.77045,32.79,,5086.0,8.15,,177.2343917,2.8075643
75,EPIC 201650711.01,CANDIDATE,0.25967056,0.742,0.0132,3982.0,0.59,,172.0443891,2.8267296
76,EPIC 201650711.02,CANDIDATE,5.54583,0.441,0.0152,,0.34,,172.0443891,2.8267296
77,EPIC 201654498.01,CANDIDATE,18.4502,2.52,0.085,,0.72,,171.517647,2.8867875
78,EPIC 201663879.02,CANDIDATE,35.621,1.89,0.045,5440.0,0.9,4.51,166.8010058,3.0399357
79,EPIC 201666578.01,CANDIDATE,4.1333,1.2,0.112,,0.31,,177.1019945,3.0853526
80,EPIC 201683540.01,CANDIDATE,1.9611469,5.93,0.727,4166.0,0.64,,169.21486,3.3638919
81,EPIC 201702477.01,CANDIDATE,40.7362,7.28,,5618.0,0.85,,175.2407614,3.6815406
82,EPIC 201705526.01,CANDIDATE,18.10220826,,0.78,6141.1,2.05,3.88,172.3857482,3.7319788
83,EPIC 201717159.01,CANDIDATE,0.60408352,2.26,0.0963,4331.0,0.67,,178.4363057,3.9322038
84,EPIC 201717274.01,CANDIDATE,3.52725,1.21,0.199,,0.26,,173.8276491,3.9340165
85,EPIC 201720401.01,CANDIDATE,6340.0,12.8,,4800.0,0.88,,179.1664861,3.9864368
86,EPIC 201732557.01,CANDIDATE,6.662,1.59,0.0946,,0.48,,168.9116543,4.1931655
87,EPIC 201754305 d,CONFIRMED,2.71578,1.03,,,,,175.0972238,4.5574311
88,EPIC 201757695.02,CONFIRMED,2.0478,0.908,,4520.0,0.66,4.66,173.9385102,4.6164303
89,EPIC 201775904.01,CANDIDATE,,35.0,1.3972,,1.27,,168.0081427,4.9320303
90,EPIC 201779067.01,FALSE POSITIVE,27.24273,31.73,,6166.0,0.92,,168.5427766,4.9881156
91,EPIC 201785059.01,CANDIDATE,1.39533316,,0.054,3433.0,0.42,4.8,170.6976906,5.0951726
92,EPIC 201793642.01,CANDIDATE,15.3791,1.89,0.256,,0.34,,174.031648,5.2521219
93,EPIC 201828749.01,CANDIDATE,33.515399,2.03,0.0822,4222.0,0.65,,175.6541539,5.8942286
94,EPIC 201833600 c,CONFIRMED,3.96165,1.48,0.0485,,0.63,,169.483654,5.988289
95,EPIC 201837434.01,CANDIDATE,6.97251,2.01,0.0916,,0.63,,168.5709572,6.0608498
96,EPIC 201841433 b,CONFIRMED,4.16888,1.41,0.0447,,0.63,,175.206752,6.1348146
97,EPIC 201841433.01,CANDIDATE,12.3389,2.11,0.1021,,0.63,,175.206752,6.1348146
98,EPIC 201846824.01,CANDIDATE,2.89465,1.75,0.0551,,0.7,,176.8902497,6.2407166
99,EPIC 201856786.01,CANDIDATE,3.83794,1.51,0.0315,,0.81,,177.987935,6.4404496
100,EPIC 201856786.02,CANDIDATE,5.24086,1.46,0.0292,,0.81,,177.987935,6.4404496
101,EPIC 201892470.01,CANDIDATE,2790.0,12.2,,5100.0,0.93,,170.9969231,7.1649482
102,EPIC 201896171.01,CANDIDATE,8.91058,2.8,0.0592,,1.03,,176.6671476,7.2433545
103,EPIC 201920032.01,CANDIDATE,28.2692,3.35,,5631.0,1.29,4.2,174.1067018,7.7529977
104,EPIC 201920032.02,CANDIDATE,4.73172,1.7,0.0245,,1.03,,174.1067018,7.7529977
105,EPIC 201923289.01,CANDIDATE,0.782022,1.58,0.0267,,0.94,,174.9206066,7.8258194
106,EPIC 201925324.01,CANDIDATE,15.4769,2.89,0.173,,0.66,,171.3995685,7.8719192
107,EPIC 201927336.01,CANDIDATE,6.4498648,2.63,0.0814,5395.0,0.85,,170.9338271,7.9170687
108,EPIC 201928106.01,FALSE POSITIVE,1.19478,1.65,,3671.0,0.23,5.05,170.8931433,7.9346019
109,EPIC 202059377.01,FALSE POSITIVE,1.57753,26.0,,7747.0,1.93,4.08,99.184275,21.651567
110,EPIC 202060800.01,CANDIDATE,3.262038,,2.4289,10318.0,5.27,,92.5910909,23.7941563
111,EPIC 202062450.01,CANDIDATE,4.4654,45.0,1.59,,2.3,,95.8635012,14.5471107
112,EPIC 202064253.01,CANDIDATE,21.140574,31.5,5.01,6205.0,1.29,,91.5042033,22.891765
113,EPIC 202065819.01,CANDIDATE,5.74372,,0.7985,,,,94.535356,24.8339752
114,EPIC 202066192.01,CANDIDATE,3.2923818,19.6,0.924,7824.0,1.87,,95.2474442,26.1253891
115,EPIC 202066811.01,CANDIDATE,1.696374,35.3,3.779,,1.79,,103.3613273,16.8331077
116,EPIC 202071289.01,CANDIDATE,3.046136,76.0,3.778,,1.7,,95.1830838,24.9042603
117,EPIC 202071401.01,CANDIDATE,3.2367,1.58,,4863.0,0.74,4.6,100.3787709,20.9218836
118,EPIC 202071635.01,CANDIDATE,6.2719092,60.0,9.29,7254.0,1.81,,93.5717918,18.6270161
119,EPIC 202071645.01,FALSE POSITIVE,23.7782,98.0,,7498.0,2.09,4.03,97.7746683,17.7011893
120,EPIC 202071725.01,CANDIDATE,1.42636,6.66,0.03016,,4.28,,96.352041,24.6658505
121,EPIC 202072596.01,CANDIDATE,3.979287,37.5,3.5,7430.0,1.84,,99.5107441,20.9392785
122,EPIC 202072965.01,CANDIDATE,2.1417519,86.2,24.8,6492.0,1.59,,96.5994993,27.9455981
123,EPIC 202084970.01,CANDIDATE,2.86136,,0.1169,3697.0,0.5,4.74,104.3493021,19.5069285
124,EPIC 202085553.01,CANDIDATE,3.10622,,0.195,3636.0,0.5,4.74,100.404621,24.20664
125,EPIC 202085597.01,CANDIDATE,1.814553,,1.289,4618.0,10.06,,99.5551497,18.2284424
126,EPIC 202085698.01,CANDIDATE,17.1541,,1.948,4930.0,16.13,,93.8869534,27.4102179
127,EPIC 202085934.01,CANDIDATE,12.1507,1.48,0.029,,0.83,,104.3167135,20.1241138
128,EPIC 202086291.01,CANDIDATE,2.4343734,61.4,38.7,5568.0,0.9,,94.4496805,25.6025195
129,EPIC 202086968.01,CANDIDATE,1.8490876,17.3,2.74,5693.0,0.96,,97.0056091,16.3888806
130,EPIC 202088212.01,CANDIDATE,2.62077,58.0,,6302.0,1.4,4.23,95.6412795,14.7417216
131,EPIC 202089657.01,CANDIDATE,1.314437,3.1,,6009.0,1.47,4.09,91.4535759,23.4845208
132,EPIC 202090152.01,CANDIDATE,4.8045244,3.62,0.0678,6187.0,1.28,,101.0791483,28.1135803
133,EPIC 202090723.01,CANDIDATE,6.14818,,0.1513,6591.31,2.29,,90.2285333,23.9387495
134,EPIC 202091388.01,CANDIDATE,6.48167,3.46,0.1249,,0.92,,91.3638053,21.2560107
135,EPIC 202092480.01,CANDIDATE,2.8445331,65.3,26.5,6045.0,1.16,,103.0523211,25.3390548
136,EPIC 202092559.01,CANDIDATE,0.6687,2.22,0.01196,,1.94,,104.4368858,24.2657613
137,EPIC 202092782.01,CANDIDATE,13.3461,42.0,0.5465,,2.58,,92.6124668,16.865197
138,EPIC 202093020.01,CANDIDATE,4.1376047,7.33,0.911,4581.0,0.7,,98.2743565,16.8702315
139,EPIC 202093968.01,CANDIDATE,2.469851,6.6,0.1234,,1.48,,96.1610663,21.1257415
140,EPIC 202094740.01,CANDIDATE,0.690458,,0.6655,6912.12,1.51,,100.4631493,27.0971763
141,EPIC 202126847.01,CANDIDATE,4.1687922,16.1,1.69,6005.0,1.14,,102.2013162,17.1618942
142,EPIC 202126849.01,FALSE POSITIVE,3.7999139,10.8,2.4,4171.0,0.64,,99.8979924,25.4824005
143,EPIC 202126853.01,CANDIDATE,21.17051,81.0,1.5771,,2.54,,104.7032827,19.1929542
144,EPIC 202126884.01,CANDIDATE,5.319075,20.0,0.7124,,2.28,,96.679195,25.2050015
145,EPIC 202126887.01,FALSE POSITIVE,12.866539,22.3,3.01,6066.0,1.18,,99.3805518,26.7864507
146,EPIC 202126888.01,FALSE POSITIVE,1.84617,2.14,,3252.0,0.21,5.08,98.047519,27.2197459
147,EPIC 202137637.01,CANDIDATE,6.6223,,0.348,5000.0,5.55,,92.1512224,23.7924451
148,EPIC 202139294.01,CANDIDATE,0.5217136,452.0,1.4286,,11.27,,92.5914383,27.4454618
149,EPIC 202565282.01,CANDIDATE,11.97495,256.0,,5200.0,3.4,3.32,247.4260725,-29.2017505
150,EPIC 202600948.01,CANDIDATE,5.9895,2.04,0.0354,,1.03,,247.9793338,-29.0642073
151,EPIC 202634963.01,CANDIDATE,28.707623,21.2,3.57,5838.0,1.03,,242.8978737,-28.9346559
152,EPIC 202675839.01,CANDIDATE,15.4715,9.2,,5791.0,1.89,4.0,243.8422245,-28.7802178
153,EPIC 202688980.01,CANDIDATE,1.45556515,71.0,2.7008,,2.04,,244.2208049,-28.7303903
154,EPIC 202710713.01,CANDIDATE,3.3262396,1.16,0.101,3404.0,0.33,,244.0668921,-28.6491427
155,EPIC 202774883.01,CANDIDATE,13.1426,200.0,0.529,,13.9,,249.1644576,-28.4111595
156,EPIC 202821899.01,CANDIDATE,4.474513,8.169,,6081.0,2.22,3.88,249.1600007,-28.2390752
157,EPIC 202893157.01,CANDIDATE,4.1657292,1.86,0.227,3442.0,0.36,,246.5591625,-27.9830801
158,EPIC 202971774.01,CANDIDATE,0.2358684,6.1,0.0754,,1.79,,245.3768295,-27.7061138
159,EPIC 203042994.01,CANDIDATE,12.99109,43.0,0.602,,4.5,,244.6100128,-27.4570498
160,EPIC 203070421.01,CANDIDATE,1.7359447,1.89,0.043,5354.0,0.84,,250.4531166,-27.3610213
161,EPIC 203099398.01,CANDIDATE,1.8389349,0.837,0.0177,3930.0,0.58,,243.8127455,-27.2622661
162,EPIC 203139512.01,CANDIDATE,2.032664,1.92,0.1159,,0.54,,247.1360171,-27.1235298
163,EPIC 203139512.02,CANDIDATE,6.11706,1.76,0.0976,,0.54,,247.1360171,-27.1235298
164,EPIC 203294831.01,CANDIDATE,1.8590179,30.5,4.44,6244.0,1.33,,239.8792061,-26.604366
165,EPIC 203311200.01,CANDIDATE,540.0,5.7,,5200.0,0.94,,240.9764776,-26.5537396
166,EPIC 203476597.01,FALSE POSITIVE,1.4408,,1.64,4154.0,1.59,,246.4912542,-26.0104676
167,EPIC 203485624.01,FALSE POSITIVE,0.841202,82.0,,6237.0,2.31,3.85,244.1720262,-25.9805673
168,EPIC 203518244.01,CANDIDATE,0.8411257,0.884,0.015,4289.0,0.66,,244.1629354,-25.8700704
169,EPIC 203533312.01,CANDIDATE,0.17566,3.11,,6620.0,1.15,4.19,243.9553734,-25.8184824
170,EPIC 203560204.01,CANDIDATE,29.33873041,,1.277,3171.0,0.53,4.71,240.6852933,-25.725743
171,EPIC 203581469.01,FALSE POSITIVE,22.7984,9.0,,6195.0,1.37,4.18,246.2660064,-25.6524338
172,EPIC 203623230.01,CANDIDATE,2.54427583,,0.012,8188.0,3.24,3.72,252.2223357,-25.5079566
173,EPIC 203633064.01,CANDIDATE,0.7099504,80.0,1.6512,,2.06,,239.2255102,-25.4738433
174,EPIC 203692610.01,FALSE POSITIVE,1.8204,,0.5,3112.0,0.51,4.73,242.6317089,-25.2672637
175,EPIC 203710387.01,FALSE POSITIVE,2.809,,4.73,2901.0,0.47,4.76,244.1277536,-25.2057083
176,EPIC 203753577.01,CANDIDATE,3.4007758,5.57,0.331,5520.0,0.89,,252.8617981,-25.0535105
177,EPIC 203771098.03,CANDIDATE,,7.51,0.3145,,1.25,,242.5734559,-24.9906029
178,EPIC 203823381.01,FALSE POSITIVE,8.2766395,0.724,0.371,2586.0,0.11,,247.1370292,-24.7987348
179,EPIC 203849738.01,FALSE POSITIVE,0.6199,,2.52,2978.0,0.6,4.65,242.4702944,-24.6983209
180,EPIC 203914123.01,CANDIDATE,83830.0,12.0,,4000.0,0.74,,244.3807553,-24.437006
181,EPIC 203929178.01,CANDIDATE,1.153886,99.0,,6841.0,1.8,4.09,252.4227596,-24.3737862
182,EPIC 203942067.01,CANDIDATE,1.6398934,33.0,14.6,5175.0,0.79,,243.8244349,-24.3192726
183,EPIC 204043888.01,FALSE POSITIVE,1.486243,58.0,,5991.0,1.87,3.98,252.2438413,-23.8914989
184,EPIC 204057095.01,CANDIDATE,23.21037,15.3,0.4533,,1.21,,242.7532415,-23.840347
185,EPIC 204124270.01,CANDIDATE,1.330023,44.0,0.2836,,2.4,,253.1042177,-23.5694775
186,EPIC 204128016.01,CANDIDATE,50.73641,10.31,0.3938,,1.35,,242.3657824,-23.5545059
187,EPIC 204143627.01,FALSE POSITIVE,1.124,,0.62,3074.0,0.51,4.73,243.9968794,-23.4935346
188,EPIC 204276894.01,CANDIDATE,1.957,,0.01,3913.0,45.37,,248.6633692,-22.9708723
189,EPIC 204308061.01,CANDIDATE,22.6398,1.27,0.02,,0.86,,247.4302723,-22.8473721
190,EPIC 204312847.01,CANDIDATE,24.193613,30.7,10.6,5457.0,0.87,,250.4137354,-22.8284511
191,EPIC 204322265.01,CANDIDATE,2.784496,2.09,0.585,,0.26,,246.86899,-22.7910827
192,EPIC 204346718.01,CANDIDATE,0.64292573,,2.46,2914.0,0.36,4.86,245.3200013,-22.6936469
193,EPIC 204506777.01,FALSE POSITIVE,1.6281,,1.49,5691.0,2.74,3.57,241.824054,-22.0602594
194,EPIC 204529573.01,CANDIDATE,2.7518,0.669,0.00992,,0.65,,248.394703,-21.965461
195,EPIC 204576757.01,CANDIDATE,23.277669,32.8,19.8,4379.0,0.68,,247.1574907,-21.7675731
196,EPIC 204634789.01,CANDIDATE,2.2,8.4,,4800.0,0.87,,247.9469488,-21.5234812
197,EPIC 204649811.01,CANDIDATE,2.64594828,,1.124,6634.0,1.98,3.99,244.8207081,-21.4599992
198,EPIC 204658292.01,CANDIDATE,20.98296043,,0.338,4822.0,0.74,4.59,243.7067684,-21.4237002
199,EPIC 204676499.01,CANDIDATE,1.5271792,,0.192,5359.0,0.9,4.5,245.8138614,-21.3461111
200,EPIC 204750116.02,CANDIDATE,7.8392,1.46,0.0158,,1.11,,238.8197061,-21.0269691
201,EPIC 204760247.01,FALSE POSITIVE,9.2048,,14.79,11886.0,3.62,3.82,239.4185534,-20.9831714
202,EPIC 204791347.01,CANDIDATE,1.94297,2.571,,3197.0,0.44,4.85,240.5178856,-20.8452602
203,EPIC 204873331.01,FALSE POSITIVE,1.3178719,62.0,1.978,,1.98,,249.5550047,-20.4763359
204,EPIC 204882444.01,FALSE POSITIVE,1.1488,,0.98,3429.0,0.98,4.07,238.7713112,-20.4356029
205,EPIC 204884005.01,CANDIDATE,46.38363,3.22,0.1771,,0.76,,249.3309961,-20.4286731
206,EPIC 204888276.01,CANDIDATE,16.563155,1.66,0.101,3669.0,0.48,,239.9970933,-20.4091199
207,EPIC 204914585.01,CANDIDATE,18.357773,1.74,0.0452,4937.0,0.75,,242.0579035,-20.2883588
208,EPIC 204990932.01,CANDIDATE,21.9184,3.18,0.133,,0.72,,245.551683,-19.9298146
209,EPIC 204991696.01,CANDIDATE,49.8558,3.29,0.0539,,1.36,,242.5725134,-19.9260062
210,EPIC 205029914.01,CANDIDATE,4.9818921,2.66,0.0555,5849.0,1.04,,249.0251664,-19.7445289
211,EPIC 205040048.01,CANDIDATE,3.30524,6.6,0.121,,1.79,,242.1683542,-19.6968996
212,EPIC 205050711.01,CANDIDATE,4.30221683,,2.613,7168.62,4.08,3.42,252.6635796,-19.6439489
213,EPIC 205064326.01,FALSE POSITIVE,8.02678456,,0.472,4708.46,5.6,,251.8883544,-19.5793619
214,EPIC 205084841.01,CANDIDATE,11.31009,130.0,,4793.0,10.0,2.37,248.3992331,-19.4792517
215,EPIC 205145448.01,CANDIDATE,16.63237,10.7,4.33,3648.0,0.47,,248.448636,-19.1778194
216,EPIC 205146011.01,CANDIDATE,1.057171,1.51,0.0204,,1.0,,242.7831769,-19.1751977
217,EPIC 205148699.01,FALSE POSITIVE,4.37983009,,3.43,5982.0,1.6,4.07,253.1604535,-19.1616989
218,EPIC 205152172.01,CANDIDATE,0.980294,1.81,0.0655,,0.69,,245.1798804,-19.1443126
219,EPIC 205170731.01,CANDIDATE,14.2005,2.36,0.0856,,0.79,,251.5914378,-19.0501824
220,EPIC 205205452.01,CANDIDATE,28.8077,2.08,0.853,,0.21,,250.7570798,-18.8713241
221,EPIC 205224877.01,CANDIDATE,3.75927,68.0,0.361,,10.7,,245.2698986,-18.7691674
222,EPIC 205242733.01,CANDIDATE,2.4165066,0.988,0.056,3483.0,0.38,,246.879865,-18.6752663
223,EPIC 205252523.01,CANDIDATE,4.4984354,3.12,0.185,4309.0,0.66,,247.0434622,-18.6239525
224,EPIC 205377483.01,CANDIDATE,0.3938505,13.7,0.0488,,2.16,,242.3165723,-17.9436003
225,EPIC 205463986.01,CANDIDATE,2.3240489,33.4,15.4,5107.0,0.78,,241.5275444,-17.417342
226,EPIC 205470347.01,CANDIDATE,1.86732,0.648,0.00794,,0.69,,242.9236052,-17.3760132
227,EPIC 205483055.01,CANDIDATE,22.9735,2.61,0.0541,,1.07,,249.4014625,-17.2921568
228,EPIC 205483258.01,FALSE POSITIVE,5.6683,,6.49,3521.0,0.96,4.15,245.8522044,-17.2909833
229,EPIC 205489894.01,CANDIDATE,14.65835,1.12,0.1029,,0.34,,247.4748134,-17.2472927
230,EPIC 205503762.01,CANDIDATE,6.4349,2.47,0.0263,,1.49,,243.351091,-17.1551958
231,EPIC 205570849.01,CANDIDATE,16.858,5.6,,5957.0,1.07,4.35,244.8635344,-16.6892105
232,EPIC 205618538.01,CANDIDATE,2.167697,12.14,0.2228,,2.49,,244.8335028,-16.3371967
233,EPIC 205632508.01,CANDIDATE,19.2299,1.96,0.0922,,0.61,,249.1140807,-16.2289316
234,EPIC 205652650.01,CANDIDATE,5.07152,3.2,0.216,,0.43,,245.0549931,-16.0690381
235,EPIC 205703094.01,CANDIDATE,8.1191,57.0,,6040.0,1.2,4.32,247.3388942,-15.6467547
236,EPIC 205703094.02,CANDIDATE,16.235,11.0,,6040.0,1.2,4.32,247.3388942,-15.6467547
237,EPIC 205703094.03,FALSE POSITIVE,24.9922,36.0,,6040.0,1.2,4.32,247.3388942,-15.6467547
238,EPIC 205938820.01,CANDIDATE,4.20773,1.47,0.0277,,0.83,,337.9897117,-16.7453086
239,EPIC 205939498.01,CANDIDATE,1.1761477,19.3,0.136,,2.38,,339.584902,-16.7220361
240,EPIC 205943325.01,CANDIDATE,27.270191,2.5,,6171.0,1.61,4.13,333.4797735,-16.5931905
241,EPIC 205944181.01,CANDIDATE,2.475527,42.0,,5962.0,1.06,4.4,333.9249669,-16.5636911
242,EPIC 205947161.01,CANDIDATE,17.7259,23.4,0.3338,,1.75,,340.959712,-16.4624626
243,EPIC 205947214.01,CANDIDATE,54.169832,22.0,13.6,3836.0,0.55,,334.6166913,-16.4609407
244,EPIC 205950854 c,CONFIRMED,8.050722,1.31,,5502.7,0.83,,333.1100738,-16.3418863
245,EPIC 205951125.01,CANDIDATE,6.79143,1.72,0.0739,,0.61,,340.6082059,-16.3332979
246,EPIC 205957328.01,CANDIDATE,14.353438,2.16,,5317.0,0.83,4.59,339.9024279,-16.1298606
247,EPIC 205969319.01,CANDIDATE,6.4756,1.85,0.0174,,1.34,,336.34701,-15.7509357
248,EPIC 205976958.01,CANDIDATE,2.31803,2.34,0.143,,0.59,,339.3096463,-15.5141494
249,EPIC 205996447.01,CANDIDATE,0.80032756,21.3,10.4,4028.0,0.61,,339.7266671,-14.9256728
250,EPIC 205998649.01,CANDIDATE,8.3958,3.95,0.034,,2.0,,332.4628855,-14.8632288
251,EPIC 205999468.01,CANDIDATE,12.263354,2.16,0.0681,4980.0,0.76,,335.4068605,-14.8395785
