,pl_name,tic_id,Unnamed: 0,disposition,sy_snum,sy_pnum,rv_flag,tran_flag,pl_orbper,pl_rade,pl_radj,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_logg,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_slope,lc_max,lc_mean,lc_median,lc_meanAbsDev,lc_min,lc_q1,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
10,EPIC 201176672.01,TIC 443616789,14.0,2.0,1.0,0.0,0.0,1.0,79.9999,10.2,0.91,2456877.8046,0.0,3.7532216216216217,11.7504,11.739315189189188,0.18,4542.0,0.51,0.8205405405405405,4.75,169.1498727,-4.6564416,50.81973,263.5583,-8.5755,171.86959,83.1631456,-79.9358,22.9429,333.46,2.97164,15.334,14.258,12.315,11.741,11.604,11.565,11.575,11.614,9.147,13.9651,13.3053,13.98,1.0,663.4501953125,4902.761768777496,33078.75390625,32773.80078125,109339.98264622044,118905.74299332903,31751.853515625,108750.48011243665,361177.47814611485,252426.99803367822,1.0443864229765014,-0.656290556996522,4.858742027731393e+22,69.33968353271484
11,EPIC 201176672.02,TIC 443616789,15.0,2.0,1.0,0.0,0.0,1.0,7.004918783783783,30.0,3.0,2456877.8038,0.0,3.06,14.472,11.73931518918919,0.39,5668.575945945946,0.71,0.8205405405405404,4.3713513513513504,169.1498727,-4.6564416,50.81973,263.5583,-8.5755,171.86959,83.1631456,-79.9358,22.9429,333.46,2.97164,15.334,14.258,12.315,11.741,11.604,11.565,11.575,11.614,9.147,13.9651,13.3053,13.98,1.0,663.4501953125,4902.761768777496,33078.75390625,32773.80078125,109339.98264622044,118905.74299332903,31751.853515625,108750.48011243665,361177.47814611485,252426.99803367822,1.0443864229765014,-0.656290556996522,4.858742027731393e+22,69.33968353271484
12,EPIC 201180665.01,TIC 349458175,16.0,2.0,1.0,0.0,0.0,1.0,17.77297,26.44,2.359,2457586.4986,0.0,3.662,2.8992,33.3,0.1892,5847.0,1.25,1.06,4.27,184.1697015,-4.5603949,57.21742,286.78199,-2.52858,185.63683,28.633837,-26.7254,-10.2786,601.265,1.63444,13.881,13.327,12.008,11.686,11.65,11.635,11.66,11.648,8.589,13.0873,12.6521,13.08,10.0,1742.6484375,-1.0092197524985878,79333.328125,78957.078125,79007.640625,-50.55935287475586,75848.03125,78902.46484375,79050.328125,147.86328125,0.598488427019367,-7.75455672445346,360797929472.0,256.4866638183594
13,EPIC 201182911.01,TIC 173109451,17.0,2.0,1.0,0.0,0.0,1.0,0.99656225,32.8,2.926,2456811.09,0.0,35.5,2.26,12.304990864864866,0.6256,3727.0,0.5,0.6645945945945946,4.347567567567567,172.7104166,-4.5075924,52.85404,268.27344,-7.03187,175.09897,3.2604002,-1.5629,2.86139,335.632,2.95191,17.937,16.226,13.238,12.544,12.335,12.31,12.257,11.748,8.648,15.4518,14.4539,15.516,1.0,1781.692626953125,5681.850251941928,8470.947265625,8102.70458984375,108489.18996779983,137640.54578482138,4907.56201171875,107917.01932010135,400946.97854201857,293029.9592219172,0.16865671641791044,-0.6493178015241541,5.710829962904264e+22,531.2322998046875
14,EPIC 201197348.01,TIC 62965118,18.0,2.0,1.0,0.0,0.0,1.0,14.9139,3.24,0.289,2456825.1108,0.0,0.24,3.264,32.6,0.046,5631.66027027027,0.65,0.6797297297297296,4.453243243243245,177.0948891,-4.1644059,55.19886,274.58724,-4.97569,178.99399,20.7933424,-20.7339,-1.57114,360.103,2.7488,16.82,15.537,13.239,12.585,12.424,12.393,12.464,12.151,8.547,15.0437,14.2931,15.135,1.0,289.81103515625,5681.850251941928,11965.6044921875,11515.7744140625,108489.18996779983,137640.54578482138,11385.982421875,107917.01932010135,400946.97854201857,293029.9592219172,0.9802731411229135,-0.6493178015241541,5.710829962904264e+22,27.069082260131836
15,EPIC 201231940.01,TIC 49429059,20.0,2.0,1.0,0.0,0.0,1.0,0.57303573,3.35,0.299,2456810.511,0.0,0.51,0.32,12.07304491891892,0.09028,3570.0,0.43,1.0286486486486488,4.601891891891892,174.1207146,-3.4828286,54.44476,269.46549,-5.53228,175.98785,78.0163144,32.503,-70.9232,1138.64,0.824115,19.686,18.78,15.961,15.377,15.155,15.178,15.01,12.474,8.686,18.0887,17.2555,18.108,1.0,594.378173828125,5136.07851261189,1615.4093017578125,473.8127746582031,107861.35418866132,124611.80725530676,426.6529235839844,107301.42838101773,371903.21401235217,264601.78563133447,1.1786310517529215,-0.5850955199682308,4.8604668105026515e+22,19.5659236907959
16,EPIC 201238110 b,TIC 35019000,21.0,1.0,1.0,1.0,0.0,1.0,28.1696,2.2,0.2,2456824.4836,0.0,0.316,3.36,61.5,0.054,5643.741351351351,0.37,0.6891891891891891,4.475945945945946,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,12.759,12.147,11.933,11.8,11.719,11.961,8.891,15.2612,14.1497,14.904,1.0,287.94970703125,5681.850251941928,10047.6845703125,9583.5380859375,108489.18996779983,137640.54578482138,9471.78515625,107917.01932010135,400946.97854201857,293029.9592219172,0.9964303926568078,-0.6493178015241541,5.710829962904264e+22,45.460235595703125
17,EPIC 201238110.01,TIC 35019000,23.0,2.0,1.0,1.0,0.0,1.0,7.90417,2.06,0.184,2456813.6895,0.0,0.268,1.92,27.3,0.0505,5643.741351351351,0.37,0.6891891891891891,4.475945945945946,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,12.759,12.147,11.933,11.8,11.719,11.961,8.891,15.2612,14.1497,14.904,1.0,287.94970703125,5681.850251941928,10047.6845703125,9583.5380859375,108489.18996779983,137640.54578482138,9471.78515625,107917.01932010135,400946.97854201857,293029.9592219172,0.9964303926568078,-0.6493178015241541,5.710829962904264e+22,45.460235595703125
18,EPIC 201238163.01,TIC 173163938,25.0,2.0,1.0,0.0,0.0,1.0,1.0829614,1.56,0.139,2456810.366,0.0,0.0655,1.22,12.50985572972973,0.02378,3875.0,0.56,0.6959459459459457,4.467297297297298,173.2627978,-3.3887192,54.09769,268.11511,-5.78616,175.16055,9.8565836,-1.85508,9.68044,299.406,3.31192,17.367,15.657,13.114,12.48,12.282,12.226,12.248,11.97,8.672,15.1848,14.3513,15.279,1.0,860.70166015625,5681.850251941928,12765.5439453125,11118.970703125,108489.18996779983,137640.54578482138,11044.140625,107917.01932010135,400946.97854201857,293029.9592219172,1.046523784631469,-0.6493178015241541,5.710829962904264e+22,31.4416561126709
19,EPIC 201239401.01,TIC 173147407,26.0,2.0,1.0,0.0,0.0,1.0,0.90552205,1.52,0.136,2456810.944,0.0,0.0791,1.32,13.147963837837839,0.02628,3710.0,0.5,0.7102702702702702,4.482162162162163,173.0528796,-3.370321,54.00641,267.79228,-5.85246,174.95988,20.3871414,-15.3766,-13.3864,190.075,5.23261,17.114,15.731,12.58,11.945,11.735,11.648,11.615,11.871,8.328,14.9247,13.8913,15.042,1.0,415.9765625,5681.850251941928,14198.728515625,13538.7607421875,108489.18996779983,137640.54578482138,13366.775390625,107917.01932010135,400946.97854201857,293029.9592219172,0.8380281690140845,-0.6493178015241541,5.710829962904264e+22,51.43568801879883
