,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
42,42,EPIC 201291843.01,,,TIC 421192026,2,1.0,0.0,0.0,40.70206194,,,,,,,,,,,,,,,,,2456823.294921,0.0,,0.536,1.621,,,,,,,,,3759.0,0.57,0.57,,,-1.229,4.67,,4.2393,,,,-2.5717754,57.19799,275.55663,-2.98775,179.57441,118.0502057,-118.042,1.39187,118.959,8.3775,15.892,14.418,17.924,15.2315,13.823,15.1571,12.5913,10.404,10.156,8.838,,13.679,1.0,250.904296875,45388.81640625,,,,0.9376237623762376,,,25.967330932617188
43,43,EPIC 201299088.01,,,TIC 56760106,2,1.0,0.0,0.0,21.204739,,9.11,,,,,,,,,,,,,,83.49,2457600.34291,0.0,,,,7.257597,0.04741,,,,,,,5154.0,1.76,,-0.26,[Fe/H],,3.91,,,,,,-2.4646145,58.67435,282.12008,-1.38475,183.00266,27.2430251,-17.2604,-21.0775,573.991,1.71487,12.866,11.965,14.8889,14.8134,11.9891,11.5758,12.5298,9.749,9.789,8.261,,11.751,10.0,1102.078125,251764.421875,251755.8359375,251818.1015625,87.98828125,1.1692307692307693,-2.323727747075642,5499100672.0,122.33651733398438
44,44,EPIC 201324549.01,,,TIC 38161230,0,1.0,0.0,0.0,2.51881781,,,,,,,,,,,,,,,,,2456820.075966,0.0,,0.215,1.58,,,,,,,,,6380.0,1.76,,-0.67,[M/H],,,,,,,,-2.0851597,54.1171,264.00756,-5.39088,172.774,7.6157731,7.0,3.0,476.884,,12.624,12.293,14.8406,14.9666,12.2253,12.0929,13.1522,10.88,11.015,9.024,,12.146,1.0,594.6328125,195738.03125,,,,1.1219512195121952,,,177.4826202392578
48,48,EPIC 201352100.01,,,TIC 349456881,2,1.0,0.0,0.0,13.383629,,2.873,,,,,,,,,,,,,,89.247,2457594.79204,0.0,,,,34.93315,0.03231,,,,,,,5216.0,0.82,,0.16,[Fe/H],,4.7,,,,,,-1.6737612,59.96957,285.08958,0.06765,184.36744,40.7382162,-36.3597,-18.3732,194.195,5.12323,13.824,13.002,15.8354,14.1051,14.9504,14.3022,13.2666,10.653,10.607,8.075,,12.798,10.0,499.33984375,115244.2578125,115273.11328125,115344.263671875,160.03515625,0.7090909090909091,-0.8274608098503571,2186384384.0,154.74554443359375
50,50,EPIC 201357835.01,,,TIC 147677251,2,1.0,0.0,0.0,11.8951,,,,,,,,,,,,,,,,,2457611.3371,0.0,0.52,,,15.6,0.03044,,,,,,,5040.0,0.68,,,,,,,,,,,-1.5883337,60.34617,287.27077,0.6003,185.38531,25.702953,-25.4865,-3.32868,449.79,2.19503,13.13,12.788,,,,,,10.91,11.132,8.512,,12.281,10.0,997.9140625,127967.46875,127955.83984375,127994.96484375,74.7734375,1.4154175588865097,1.472009454455164,3709439744.0,113.69816589355469
51,51,EPIC 201359834.01,,,TIC 173164319,2,1.0,0.0,0.0,40.1401,,20.8,,,,,,,,,,,,,,,2456838.65281,0.0,,1.896,3.024,74.5,0.266,,,,,,,,0.72,,,,,,,,,,,-1.5587834,55.61539,266.33207,-4.14095,174.35148,50.9529666,-48.1369,-16.7046,342.596,2.89092,17.703,16.153,19.7982,17.0694,15.6683,14.9635,14.5786,12.41,11.806,8.274,,15.655,1.0,135.045654296875,8150.3125,,,,0.9219440353460973,,,25.989850997924805
52,52,EPIC 201366540.01,,,TIC 443612346,2,1.0,0.0,0.0,7.4433,,2.73,,,,,,,,,,,,,,,2456810.6468,0.0,,0.116,1.632,28.0,0.0346,,,,,,,,0.72,,,,,,,,,,,-1.4622181,53.16518,259.97186,-5.80132,170.22027,20.6608797,-20.6579,-0.350883,328.871,3.01242,16.909,15.374,18.9197,16.2348,14.9402,14.4048,14.1226,12.044,11.605,8.258,,14.97,1.0,303.21533203125,14178.9443359375,,,,1.1440306681270536,,,27.902284622192383
53,53,EPIC 201390927.01,,,TIC 66664366,2,1.0,0.0,0.0,2.638,,2.91,,,,,,,,,,,,,1313.0,,2457583.3409,0.0,0.42,0.11,1.6992,10.9,0.0265,,,,,,,4264.47,,,0.078,[M/H],,,,,,,,-1.0989451,60.67044,285.84993,0.81349,184.64436,69.6222393,-61.31,-32.99,,,15.987,14.872,,,,,,11.271,11.048,8.003,,14.21,10.0,623.2421875,32441.833984375,32443.5537109375,32464.15966796875,53.29736328125,0.9526832083092902,2.1696891165830787,602451712.0,66.68905639648438
54,54,EPIC 201392505.01,,,TIC 56812600,2,1.0,0.0,0.0,27.47083,,3.36,,,,,,,,,,,,,480.0,,2457592.0795,0.0,0.4,0.15,5.5008,30.9,0.0412,,,,,,,4947.03,0.75,0.81,-0.202,[M/H],-0.518,4.6,,2.7083,,,,-1.0748315,60.30009,283.11586,0.28135,183.35282,16.3558277,-15.588,-4.95251,273.773,3.62627,14.58,13.687,16.0498,14.0481,13.2829,12.9825,12.9091,11.192,11.211,8.528,,13.384,10.0,2147.240234375,62561.8515625,62541.267578125,62627.4462890625,176.8076171875,1.280323450134771,5.226095023497788,172082298880.0,233.25010681152344
55,55,EPIC 201407812.01,,,TIC 49428482,2,1.0,0.0,0.0,2.8268121,,40.1,,,,,,,,,,,,,,,2456812.488,0.0,0.82,14.1,6.8,,0.456,,,,,,,5736.0,0.98,,,,,,,,,,,-0.8407078,56.68341,266.97891,-3.13748,174.86583,11.3810582,-10.9682,-3.03761,649.666,1.511,12.578,12.137,15.4243,12.5992,11.8557,11.7409,13.7732,10.341,10.347,8.065,,11.858,1.0,21284.40625,266806.71875,,,,0.2440419447092469,,,6927.84033203125
56,56,EPIC 201427007 b,,,TIC 66664249,1,1.0,1.0,0.0,0.72091,,1.5,,,,,,,,,,,,,,88.5,2457625.7943,0.0,,,,3.1,0.0142,,,,,,,5633.0,0.94,,-0.053,[Fe/H],,4.4,,,,,,-0.5512886,61.20318,285.58634,1.3229,184.44256,17.7833657,-17.3534,3.88685,706.391,1.38704,15.081,14.321,16.4425,14.6644,14.0904,13.9361,13.8685,12.534,11.181,8.468,,14.219,10.0,322.466796875,30969.26171875,30967.7265625,30977.787109375,19.28369140625,1.187459599224305,11.341068326771783,83865128.0,24.820358276367188
57,57,EPIC 201441872.01,,,TIC 49417963,2,1.0,0.0,0.0,4.4416421,,1.17,,,,,,,,,,,,,,,2456812.872,0.0,0.25,0.0143,2.74,,0.01089,,,,,,,5547.0,0.9,,,,,,,,,,,-0.3345702,56.87744,265.80229,-2.84847,174.25702,39.4770015,-39.409,2.31611,243.084,4.08569,12.294,11.838,14.5835,15.3663,15.2221,16.4722,13.7164,9.796,9.82,8.68,,12.088,1.0,3207.28125,224694.390625,,,,1.344311377245509,,,988.7760009765625
60,60,EPIC 201445732.01,,,TIC 38140238,2,1.0,0.0,0.0,11.20381,,2.18,,,,,,,,,,,,,,,2456817.4926,0.0,,0.0354,1.1328,66.0,0.0182,,,,,,,,1.1,,,,,,,,,,,-0.2798534,55.25819,261.38412,-3.96211,171.521,21.0850119,2.85301,-20.8911,325.849,3.04095,12.682,12.238,15.1426,12.418,11.9367,11.8006,12.726,10.44,10.539,8.389,,11.947,1.0,705.71875,247289.65625,,,,0.814935064935065,,,89.14125061035156
61,61,EPIC 201456770.01,,,TIC 147684088,2,1.0,0.0,0.0,8.006875,,2.384,,,,,,,,,,,,,,,2457586.039304,0.0,0.609,,2.5,20.19,0.0258,,,,,,G8,5403.0,0.85,0.9,-0.047,[Fe/H],,4.54,,,,,,-0.1218824,61.89331,287.5863,2.15124,185.2783,10.1694869,-9.3668,3.95999,511.581,1.92613,14.941,14.285,16.2225,14.6583,14.0763,13.9402,13.7825,12.265,11.619,9.003,,13.973,,2171.4462890625,34982.6484375,35159.77734375,35341.611328125,553.453125,0.515450067174205,-2.259284847320826,860503932928.0,550.1996459960938
62,62,EPIC 201488365.01,HD 97422,HIP 54766,TIC 425281171,2,1.0,0.0,0.0,3.3643115,,85.6,,,,,,,,,,,,,,,2456812.224,0.0,0.56,35.2,7.4,,0.6248,,,,,,,6240.0,1.32,,,,,,,,,,,0.3478732,54.24242,257.34479,-4.35046,169.00175,101.999203,-96.7394,-32.3315,147.352,6.75818,8.893,8.45,,,,,,7.108,7.272,7.189,,8.814,1.0,1093175.875,5914705.5,,,,0.09265978230533073,,,367701.25
63,63,EPIC 201497682 b,,,TIC 301610040,1,1.0,1.0,0.0,2.13174,,0.692,,,,,,,,,,,,,,,2456850.0263,0.0,0.21,,,,0.0115,,,,,,,,,0.78,,,,,,,,,,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,11.1495,-12.0384,253.026,3.92339,15.148,13.948,17.4868,15.5898,13.759,13.467,14.0043,11.376,11.354,8.878,,13.74,1.0,528.12890625,42619.9375,,,,1.012853470437018,,,39.043495178222656
64,64,EPIC 201497682.01,,,TIC 301610040,2,1.0,1.0,0.0,13.837814,,1.96,,,,,,,,,,,,,,,2456820.957,0.0,0.35,0.0663,2.84,,0.02306,,,,,,,4535.0,0.7,,,,,,,,,,,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,11.1495,-12.0384,253.026,3.92339,15.148,13.948,17.4868,15.5898,13.759,13.467,14.0043,11.376,11.354,8.878,,13.74,1.0,528.12890625,42619.9375,,,,1.012853470437018,,,39.043495178222656
66,66,EPIC 201497682.02,,,TIC 301610040,2,1.0,1.0,0.0,7.7991586,,1.57,,,,,,,,,,,,,,,2456814.271,0.0,0.31,0.0423,2.94,,0.01829,,,,,,,4535.0,0.7,,,,,,,,,,,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,11.1495,-12.0384,253.026,3.92339,15.148,13.948,17.4868,15.5898,13.759,13.467,14.0043,11.376,11.354,8.878,,13.74,1.0,528.12890625,42619.9375,,,,1.012853470437018,,,39.043495178222656
68,68,EPIC 201497682.04,,,TIC 301610040,2,1.0,1.0,0.0,3.883,,1.06,,,,,,,,,,,,162.0,,,2456810.85,0.0,,0.0322,2.03,12.6,0.0176,,,,,,,,0.55,,,,,,,,,,,0.4880606,54.82399,258.19387,-3.92857,169.63818,16.4083645,11.1495,-12.0384,253.026,3.92339,15.148,13.948,17.4868,15.5898,13.759,13.467,14.0043,11.376,11.354,8.878,,13.74,1.0,528.12890625,42619.9375,,,,1.012853470437018,,,39.043495178222656
